"principal","tipo","autenticacao","papeis","tem_escrita","criado_em"
"crm","SQL_USER","INSTANCE","","True","2011-12-13"
"dbo","WINDOWS_USER","WINDOWS","db_owner","True","2003-04-08"
"CRM_Leitura","SQL_USER","INSTANCE","db_datareader","False","2023-05-05"
"geosiga","SQL_USER","INSTANCE","","False","2013-12-18"
"guest","SQL_USER","NONE","","False","2003-04-08"
"INFORMATION_SCHEMA","SQL_USER","NONE","","False","2005-10-14"
"matheus.admin","SQL_USER","INSTANCE","","False","2025-01-30"
"steq_bi","SQL_USER","INSTANCE","","False","2024-05-27"
"sys","SQL_USER","NONE","","False","2005-10-14"
