"object_id","esquema","nome","tipo","pasta","tabela_pai","create_date","modify_date","linhas","caracteres","escreve","verbos_escrita","alvos_escrita","chama_proc","qtd_refs","tabelas_ref","outras_ref"
"1150119338","dbo","IV$P_NO_ORIGEM_DA_RECEIT","VIEW","views","","2025-12-04 17:30:50","2025-12-04 17:30:50","1","456","False","","","False","1","IV_CLIENTEPROPR",""
"1546644753","dbo","IV$P_NO_PLANTADEIRA","VIEW","views","","2026-05-12 08:03:07","2026-05-12 08:03:07","1","472","False","","","False","1","IV_CLIENTEPROPR",""
"766117970","dbo","IV$P_NO_PLATAFORMA_ADICI","VIEW","views","","2025-11-28 15:20:59","2025-11-28 15:20:59","1","468","False","","","False","1","IV_CLIENTEPROPR",""
"1436024347","dbo","IV$P_NO_PROPRIEDADE_RURAL","VIEW","views","","2025-04-14 08:58:33","2025-04-14 08:58:33","1","493","False","","","False","1","IV_CLIENTEPROPR",""
"798118084","dbo","IV$P_NO_PULVERIZADOR","VIEW","views","","2025-11-28 15:21:33","2025-11-28 15:21:33","1","464","False","","","False","1","IV_CLIENTEPROPR",""
"1388024176","dbo","IV$P_NO_SEGURO_DE_VIDA","VIEW","views","","2025-04-14 08:57:51","2025-04-14 08:57:51","1","416","False","","","False","1","IV_CLIENTEPROPR",""
"1340024005","dbo","IV$P_NO_SITIO","VIEW","views","","2025-04-14 08:57:25","2025-04-14 08:57:25","1","444","False","","","False","1","IV_CLIENTEPROPR",""
"1308023891","dbo","IV$P_NO_TIPO_CULTURA","VIEW","views","","2025-04-14 08:57:02","2025-04-14 08:57:02","1","400","False","","","False","1","IV_CLIENTEPROPR",""
"830118198","dbo","IV$P_NO_TRATOR","VIEW","views","","2025-11-28 15:21:53","2025-11-28 15:21:53","1","455","False","","","False","1","IV_CLIENTEPROPR",""
"1334451978","dbo","IV$P_NO_TRATOR_MANUAL_FRO","VIEW","views","","2025-01-07 16:19:25","2025-01-07 16:19:25","1","522","False","","","False","1","IV_CLIENTEPROPR",""
"1122975227","dbo","IV$P_NO_TRATOR_SISDIA","VIEW","views","","2025-01-27 09:44:14","2025-01-27 09:44:14","1","640","False","","","False","1","IV_CLIENTEPROPR",""
"878118369","dbo","IV$P_NO_TURF","VIEW","views","","2025-11-28 15:22:18","2025-11-28 15:22:18","1","425","False","","","False","1","IV_CLIENTEPROPR",""
"1260023720","dbo","IV$P_NO_VEICULO","VIEW","views","","2025-04-14 08:55:56","2025-04-14 08:55:56","1","512","False","","","False","1","IV_CLIENTEPROPR",""
"1786645608","dbo","IV$P_OPERATIONS_CENTER","VIEW","views","","2026-06-09 09:33:34","2026-06-09 09:33:34","1","394","False","","","False","1","IV_CLIENTEPROPR",""
"2104550731","dbo","IV$P_ORIGEM_DA_RECEITA","VIEW","views","","2025-06-09 09:39:16","2025-06-09 09:39:16","1","550","False","","","False","1","IV_CLIENTEPROPR",""
"1598120934","dbo","IV$P_PLANTADEIRA","VIEW","views","","2026-01-13 08:07:44","2026-01-13 08:07:44","1","468","False","","","False","1","IV_CLIENTEPROPR",""
"933734529","dbo","IV$P_PLATAFORMA_ADICIONAL","VIEW","views","","2021-05-03 14:00:24","2021-05-03 14:00:24","1","464","False","","","False","1","IV_CLIENTEPROPR",""
"1582120877","dbo","IV$P_PULVERIZADOR","VIEW","views","","2026-01-13 08:04:28","2026-01-13 08:04:28","1","460","False","","","False","1","IV_CLIENTEPROPR",""
"1613404967","dbo","IV$P_SEGURO","VIEW","views","","2024-09-12 09:51:35","2024-09-12 09:51:35","1","770","False","","","False","1","IV_CLIENTEPROPR",""
"1550120763","dbo","IV$P_TRATOR","VIEW","views","","2026-01-13 08:00:44","2026-01-13 08:00:44","1","470","False","","","False","1","IV_CLIENTEPROPR",""
"1622453004","dbo","IV$P_TURF","VIEW","views","","2025-01-08 11:30:28","2025-01-08 11:30:28","1","399","False","","","False","1","IV_CLIENTEPROPR",""
"1307203757","dbo","IV$PESSOA_GEOSIGA","VIEW","views","","2013-11-14 17:42:58","2016-03-22 19:20:05","1","436","False","","","False","4","GE_PESSOA; IV_ACAO; IV_HISTORICO; IV_RESULTADO",""
"107967561","dbo","IV$PG_AGRICULTURA_PRECISAO","VIEW","views","","2017-02-03 17:26:02","2017-02-03 17:26:02","1","554","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"288160222","dbo","IV$PG_ALCADA","VIEW","views","","2019-07-09 12:52:10","2019-07-09 12:52:10","1","463","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
