"objeto","tipo","situacao","chars_prod","chars_homo"
"IV$PG_AMS_TOTVS","VIEW","TEXTO DIFERENTE","397","0"
"IV$PG_ANO","VIEW","TEXTO DIFERENTE","414","0"
"IV$PG_AUDITORIA","VIEW","TEXTO DIFERENTE","509","0"
"IV$PG_CAMPANHA_DE_INCENTIV","VIEW","TEXTO DIFERENTE","536","0"
"IV$PG_CLASSE_RESULTADO","VIEW","TEXTO DIFERENTE","465","0"
"IV$PG_COLHEDORA_CANA_TOTVS","VIEW","TEXTO DIFERENTE","408","0"
"IV$PG_COLHEDORA_DE_CANA","VIEW","TEXTO DIFERENTE","531","0"
"IV$PG_COLHEITADEIRA_ANO","VIEW","so em PRODUCAO","428",""
"IV$PG_COLHEITADEIRA_GRAOS","VIEW","TEXTO DIFERENTE","614","0"
"IV$PG_COLHEITADEIRA_TOTVS","VIEW","TEXTO DIFERENTE","407","0"
"IV$PG_CONSORCIO","VIEW","TEXTO DIFERENTE","467","0"
"IV$PG_CULTURA","VIEW","TEXTO DIFERENTE","422","0"
"IV$PG_EQUIPAMENTOS","VIEW","TEXTO DIFERENTE","546","0"
"IV$PG_FAMILIA_DEPTOS","VIEW","TEXTO DIFERENTE","474","0"
"IV$PG_FENO_E_FORRAGEM","VIEW","TEXTO DIFERENTE","510","0"
"IV$PG_GREEN_SYSTEM","VIEW","TEXTO DIFERENTE","432","0"
"IV$PG_GRUPO_REGIONAL","VIEW","TEXTO DIFERENTE","516","0"
"IV$PG_IMP_GREEN_SYSTEM","VIEW","TEXTO DIFERENTE","436","0"
"IV$PG_IMPLEMENTOS","VIEW","TEXTO DIFERENTE","587","0"
"IV$PG_IMPLEMENTOS_TOTVS","VIEW","TEXTO DIFERENTE","405","0"
"IV$PG_INST_FINANCEIRA","VIEW","TEXTO DIFERENTE","485","0"
"IV$PG_INTEGRACAO_FAMILIA","VIEW","TEXTO DIFERENTE","482","0"
"IV$PG_MARCA_TOTVS","VIEW","TEXTO DIFERENTE","475","0"
"IV$PG_MARCAS","VIEW","TEXTO DIFERENTE","867","0"
"IV$PG_MARCAS_E_FAMILIA","VIEW","TEXTO DIFERENTE","526","0"
"IV$PG_META_DEPTO","VIEW","so em PRODUCAO","489",""
"IV$PG_ORIGEM_DA_RECEITA","VIEW","TEXTO DIFERENTE","476","0"
"IV$PG_PLANTADEIRA","VIEW","TEXTO DIFERENTE","642","0"
"IV$PG_PLANTADEIRA_TOTVS","VIEW","TEXTO DIFERENTE","405","0"
"IV$PG_PLATAFORMA_ADICIONAL","VIEW","TEXTO DIFERENTE","614","0"
"IV$PG_POLITICA_DE_COMISSAO","VIEW","TEXTO DIFERENTE","487","0"
"IV$PG_PRODUTOSISDIA","VIEW","TEXTO DIFERENTE","400","0"
"IV$PG_PULVERIZADOR","VIEW","TEXTO DIFERENTE","614","0"
"IV$PG_PULVERIZADOR_TOTVS","VIEW","TEXTO DIFERENTE","406","0"
"IV$PG_RESPONSAVEL_TECNICO","VIEW","TEXTO DIFERENTE","441","0"
"IV$PG_RETAIL","VIEW","TEXTO DIFERENTE","464","0"
"IV$PG_REVENDAS","VIEW","TEXTO DIFERENTE","436","0"
"IV$PG_SEGURO","VIEW","TEXTO DIFERENTE","430","0"
"IV$PG_SEM_INCENTIVO","VIEW","TEXTO DIFERENTE","436","0"
"IV$PG_STATUS_PESSOA_DEPTO","VIEW","TEXTO DIFERENTE","594","0"
"IV$PG_TIPO","VIEW","TEXTO DIFERENTE","414","0"
"IV$PG_TRATOR_TESTE","VIEW","TEXTO DIFERENTE","505","0"
"IV$PG_TRATOR_TOTVS","VIEW","TEXTO DIFERENTE","508","0"
"IV$PG_TRATORES","VIEW","TEXTO DIFERENTE","606","0"
"IV$PG_TURF","VIEW","TEXTO DIFERENTE","538","0"
"IV$PG_VENDEDOR","VIEW","so em PRODUCAO","429",""
"IV$PROCESSO","VIEW","TEXTO DIFERENTE","1410","0"
"IV$PRODUTO","VIEW","TEXTO DIFERENTE","902","0"
"IV$RESULTADO","VIEW","TEXTO DIFERENTE","1037","0"
"IV$RESULTADOFULL","VIEW","TEXTO DIFERENTE","5743","0"
"IV$S_AGENDA","VIEW","TEXTO DIFERENTE","916","0"
"IV$S_CARTEIRA","VIEW","TEXTO DIFERENTE","1049","0"
"IV$S_CONTATO","VIEW","TEXTO DIFERENTE","1533","0"
"IV$S_ENDERECOADIC","VIEW","TEXTO DIFERENTE","707","0"
"IV$S_HISTORICO","VIEW","TEXTO DIFERENTE","1634","0"
"IV$S_PESSOA","VIEW","TEXTO DIFERENTE","2348","0"
"IV$S_PESSOA_CLASSE","VIEW","TEXTO DIFERENTE","99","0"
"IV$S_RFV","VIEW","TEXTO DIFERENTE","573","0"
"IV$TITULO","VIEW","TEXTO DIFERENTE","1305","0"
"IV$TITULOEMPR","VIEW","TEXTO DIFERENTE","211","0"
"IV$TITULOORIGEM","VIEW","TEXTO DIFERENTE","129","0"
"IV$TITULOVENC","VIEW","TEXTO DIFERENTE","516","0"
"IV_EQUIPE","VIEW","TEXTO DIFERENTE","407","0"
"IV_EQUIPEEMPR","VIEW","TEXTO DIFERENTE","176","0"
"IV_Q$ABERTURA_OS_REVISAO","VIEW","so em PRODUCAO","844",""
"IV_Q$ACOMP_VEND_MAQUINAS","VIEW","TEXTO DIFERENTE","2658","0"
"IV_Q$ACOMP_VENDA_DIRETA","VIEW","TEXTO DIFERENTE","1488","0"
"IV_Q$ACOMP_VENDA_DIRETAJD","VIEW","TEXTO DIFERENTE","4239","0"
"IV_Q$ACOMP_VENDA_FINANC","VIEW","so em PRODUCAO","1176",""
"IV_Q$ACOMP_VENDA_LOCACAO","VIEW","TEXTO DIFERENTE","1304","0"
"IV_Q$ACOMP_VENDA_MANITOU","VIEW","TEXTO DIFERENTE","2115","0"
"IV_Q$ACOMP_VENDA_USADO","VIEW","TEXTO DIFERENTE","2124","0"
"IV_Q$ACOMPAN_COMPRA_JDE","VIEW","TEXTO DIFERENTE","1437","0"
"IV_Q$ACOMPAN_VEND_CONCESS","VIEW","TEXTO DIFERENTE","993","0"
"IV_Q$ACOMPANH_VENDA_JDE","VIEW","TEXTO DIFERENTE","4397","0"
"IV_Q$ACOMPANHA_COMPRA_IMP","VIEW","TEXTO DIFERENTE","1465","0"
"IV_Q$ACOMPANHAM_VENDA_IMP","VIEW","TEXTO DIFERENTE","1717","0"
"IV_Q$ACOMPANHAMENTO_VENDA","VIEW","TEXTO DIFERENTE","2477","0"
"IV_Q$ADM_FINANCEIRO","VIEW","TEXTO DIFERENTE","1271","0"
"IV_Q$ADM_FINANCEIRO_N","VIEW","TEXTO DIFERENTE","2458","0"
"IV_Q$AFE_VENDA_MQ_IM_USAD","VIEW","TEXTO DIFERENTE","1663","0"
"IV_Q$AFERICAO_CSC","VIEW","TEXTO DIFERENTE","1022","0"
"IV_Q$AFERICAO_DE_PECAS","VIEW","TEXTO DIFERENTE","1010","0"
"IV_Q$AFERICAO_IMPLEMENTO","VIEW","TEXTO DIFERENTE","1285","0"
"IV_Q$AFERICAO_MAQ_1_CONT","VIEW","TEXTO DIFERENTE","1221","0"
"IV_Q$AFERICAO_MAQ_1_WEB","VIEW","TEXTO DIFERENTE","1109","0"
"IV_Q$AFERICAO_MAQ_2_CONT","VIEW","TEXTO DIFERENTE","1041","0"
"IV_Q$AFERICAO_MAQ_2_WEB","VIEW","TEXTO DIFERENTE","871","0"
"IV_Q$AFERICAO_MAQ_3_CONT","VIEW","TEXTO DIFERENTE","1321","0"
"IV_Q$AFERICAO_MAQ_3_WEB","VIEW","TEXTO DIFERENTE","924","0"
"IV_Q$AFERICAO_PECAS","VIEW","TEXTO DIFERENTE","781","0"
"IV_Q$AFERICAO_POS_SOLUCAO","VIEW","TEXTO DIFERENTE","916","0"
"IV_Q$AFERICAO_SERV_WEB","VIEW","TEXTO DIFERENTE","1061","0"
"IV_Q$AFERICAO_SERVICOS","VIEW","TEXTO DIFERENTE","1192","0"
"IV_Q$AFERICAO_SUPORTE_INT","VIEW","TEXTO DIFERENTE","829","0"
"IV_Q$AFERICAO_VENDA_MAQ","VIEW","TEXTO DIFERENTE","1165","0"
"IV_Q$AFERICAO_VENDA_MQ_IM","VIEW","TEXTO DIFERENTE","1916","0"
"IV_Q$AGUARDAR_PECAS","VIEW","TEXTO DIFERENTE","819","0"
"IV_Q$ALTERADO_PAGAMENTO","VIEW","so em PRODUCAO","897",""
"IV_Q$ANALISE_DE_CREDITO","VIEW","TEXTO DIFERENTE","4588","0"
"IV_Q$APRESENT_EQUIPAMENTO","VIEW","TEXTO DIFERENTE","786","0"
"IV_Q$APRESENT_IMPLEMENTO","VIEW","TEXTO DIFERENTE","958","0"
"IV_Q$APRESENTACAO","VIEW","TEXTO DIFERENTE","1021","0"
"IV_Q$APRESENTACAO_JDE","VIEW","TEXTO DIFERENTE","1029","0"
"IV_Q$APROVACAO_TCSM","VIEW","TEXTO DIFERENTE","815","0"
"IV_Q$ATUALIZACAO_PUK","VIEW","so em PRODUCAO","1131",""
"IV_Q$AVAL_COLH_CANA_USADA","VIEW","TEXTO DIFERENTE","2209","0"
"IV_Q$AVAL_TRATORES_USADOS","VIEW","TEXTO DIFERENTE","3329","0"
"IV_Q$AVAL_USADO_ENTRADA","VIEW","TEXTO DIFERENTE","1094","0"
"IV_Q$AVALIA_COLHEIT_USADA","VIEW","TEXTO DIFERENTE","3098","0"
"IV_Q$AVALIA_IMPLEM_USADO","VIEW","TEXTO DIFERENTE","1548","0"
"IV_Q$AVALIA_USADO_ENTRADA","VIEW","TEXTO DIFERENTE","2140","0"
"IV_Q$AVALIACAO_AMS_USADO","VIEW","TEXTO DIFERENTE","918","0"
"IV_Q$CADASTROS_LISTAS","VIEW","TEXTO DIFERENTE","817","0"
"IV_Q$CANCEL_RENOVACAO_SEG","VIEW","so em PRODUCAO","972",""
"IV_Q$CANCELAMENTO_SEGURO","VIEW","TEXTO DIFERENTE","874","0"
"IV_Q$CANHOTO_DIGITAL","VIEW","so em PRODUCAO","950",""
"IV_Q$CHASSI_ENTREGA_FISIC","VIEW","TEXTO DIFERENTE","819","0"
"IV_Q$CHASSI_EQUIPAMENTO","VIEW","TEXTO DIFERENTE","832","0"
"IV_Q$CHASSI_PMP","VIEW","TEXTO DIFERENTE","855","0"
"IV_Q$CHEGADA_IMPLEMENTO","VIEW","TEXTO DIFERENTE","823","0"
"IV_Q$COM_INTERESSE_FUTURO","VIEW","so em PRODUCAO","1150",""
"IV_Q$COMISSAO","VIEW","TEXTO DIFERENTE","1676","0"
"IV_Q$COMISSAO_AMS","VIEW","TEXTO DIFERENTE","1201","0"
"IV_Q$COMISSAO_CONTACHAVE","VIEW","TEXTO DIFERENTE","1124","0"
"IV_Q$COMISSAO_LOCACAO","VIEW","TEXTO DIFERENTE","1279","0"
"IV_Q$COMISSAO_SERV_AMS","VIEW","TEXTO DIFERENTE","1317","0"
"IV_Q$COMISSAO_USADO","VIEW","TEXTO DIFERENTE","945","0"
"IV_Q$COMISSAO_VD_LOCACAO","VIEW","TEXTO DIFERENTE","1287","0"
"IV_Q$COMPETID_NEGOC_IMPL","VIEW","TEXTO DIFERENTE","1058","0"
"IV_Q$COMPETIDORES_NA_NEG","VIEW","TEXTO DIFERENTE","1050","0"
"IV_Q$COMPETIDORES_NA_NEGO","VIEW","TEXTO DIFERENTE","1091","0"
"IV_Q$CONDICOES_DE_VENDAS","VIEW","so em PRODUCAO","1176",""
"IV_Q$CONT_COMISSAO_22","VIEW","TEXTO DIFERENTE","1584","0"
"IV_Q$COTA_CONSORCIO","VIEW","so em PRODUCAO","1045",""
"IV_Q$DEMO_EQUIP_JD","VIEW","so em PRODUCAO","1706",""
"IV_Q$DEMO_IMPLEMENTO","VIEW","TEXTO DIFERENTE","1675","0"
"IV_Q$DEMO_MAQUINAS","VIEW","TEXTO DIFERENTE","1118","0"
"IV_Q$DEMO_TRATOR","VIEW","TEXTO DIFERENTE","1697","0"
"IV_Q$DEMONSTR_COLHEITAD","VIEW","TEXTO DIFERENTE","1031","0"
"IV_Q$DEMONSTRACAO_JD","VIEW","TEXTO DIFERENTE","1922","0"
"IV_Q$DEMONSTRACAO_LOG","VIEW","so em PRODUCAO","872",""
"IV_Q$DEMONSTRACAO_NF","VIEW","so em PRODUCAO","801",""
"IV_Q$DEMONSTRACAO_TRATOR","VIEW","TEXTO DIFERENTE","1676","0"
"IV_Q$DEVOLUCAO_PECA","VIEW","TEXTO DIFERENTE","799","0"
"IV_Q$DEVOLUCAO_PUK","VIEW","so em PRODUCAO","803",""
"IV_Q$DOC_ANALISE_CREDITO","VIEW","TEXTO DIFERENTE","1754","0"
"IV_Q$EVENTOS_AFERICAO","VIEW","TEXTO DIFERENTE","1306","0"
"IV_Q$EXP_FLUXO_MODELER","VIEW","TEXTO DIFERENTE","816","0"
"IV_Q$FORA_SERVICO_PMP","VIEW","TEXTO DIFERENTE","900","0"
"IV_Q$FORM_TREINO","VIEW","TEXTO DIFERENTE","775","0"
"IV_Q$GAR_DATA_SERVICO","VIEW","TEXTO DIFERENTE","852","0"
"IV_Q$GAR_FAB_SOL_PECA","VIEW","TEXTO DIFERENTE","803","0"
"IV_Q$GESTAO_CREDITO","VIEW","TEXTO DIFERENTE","2888","0"
"IV_Q$GESTAO_CREDITO_AMS","VIEW","TEXTO DIFERENTE","1862","0"
"IV_Q$GESTAO_CREDITO_IMP","VIEW","TEXTO DIFERENTE","1889","0"
"IV_Q$GESTAO_PRODUTO___AMS","VIEW","TEXTO DIFERENTE","1885","0"
"IV_Q$GESTAO_PRODUTO_IMPL","VIEW","TEXTO DIFERENTE","1618","0"
"IV_Q$HORIMETRO_AGREGA","VIEW","TEXTO DIFERENTE","803","0"
"IV_Q$INCENTIVO","VIEW","TEXTO DIFERENTE","2241","0"
"IV_Q$INTERESSE_FUTURO_PRO","VIEW","TEXTO DIFERENTE","784","0"
"IV_Q$INTERESSE_PROJETO_IR","VIEW","TEXTO DIFERENTE","1026","0"
"IV_Q$LIBERAR_DEMONSTRACAO","VIEW","so em PRODUCAO","894",""
"IV_Q$LICENCAS_PUK","VIEW","so em PRODUCAO","1179",""
"IV_Q$LOCACAO_COMISSAO","VIEW","TEXTO DIFERENTE","1283","0"
"IV_Q$OFERECE_RENOV_SEGURO","VIEW","TEXTO DIFERENTE","1313","0"
"IV_Q$ORIGEM_DA_RENDA","VIEW","TEXTO DIFERENTE","813","0"
"IV_Q$OS_ABERTA","VIEW","TEXTO DIFERENTE","836","0"
"IV_Q$OS_CORTESIA","VIEW","TEXTO DIFERENTE","890","0"
"IV_Q$OS_GARANTIA","VIEW","TEXTO DIFERENTE","890","0"
"IV_Q$OS_REVISAO_ENTREGA","VIEW","TEXTO DIFERENTE","924","0"
"IV_Q$PECAS_AFERICAO","VIEW","TEXTO DIFERENTE","1229","0"
"IV_Q$PEDIDO_GC","VIEW","so em PRODUCAO","1201",""
"IV_Q$PEDIDO_KAM","VIEW","TEXTO DIFERENTE","1717","0"
"IV_Q$PEDIDO_SAM","VIEW","TEXTO DIFERENTE","1354","0"
"IV_Q$PERCEPCAO_JD","VIEW","so em PRODUCAO","1388",""
"IV_Q$PESQ_SATISFACAO_PECA","VIEW","TEXTO DIFERENTE","1966","0"
"IV_Q$PESQUISA_NPS","VIEW","so em PRODUCAO","815",""
"IV_Q$PESQUISA_TI","VIEW","TEXTO DIFERENTE","920","0"
"IV_Q$PREMIO_DEMO","VIEW","TEXTO DIFERENTE","874","0"
"IV_Q$PREVISAO_RECEBIMENTO","VIEW","TEXTO DIFERENTE","835","0"
"IV_Q$PRODUTO_RD","VIEW","so em PRODUCAO","1024",""
"IV_Q$PROPOSTA_COMERCIAL","VIEW","TEXTO DIFERENTE","1113","0"
"IV_Q$PROSPECCAO_SERV__JD","VIEW","TEXTO DIFERENTE","927","0"
"IV_Q$QUALIDADE_PECAS","VIEW","TEXTO DIFERENTE","907","0"
"IV_Q$QUALIDADE_SERVICOS","VIEW","TEXTO DIFERENTE","932","0"
"IV_Q$QUALIDADE_VENDAMAQ","VIEW","TEXTO DIFERENTE","913","0"
"IV_Q$RECEB_FINAN_IMPLEM","VIEW","TEXTO DIFERENTE","827","0"
"IV_Q$RECEBIMENTO_A_PRAZO","VIEW","so em PRODUCAO","1532",""
"IV_Q$RECEBIMENTO_COMISSAO","VIEW","TEXTO DIFERENTE","838","0"
"IV_Q$RECEBIMENTO_FINANC","VIEW","TEXTO DIFERENTE","813","0"
"IV_Q$RESPONSAVEL_TECNICO","VIEW","TEXTO DIFERENTE","831","0"
"IV_Q$RESULTADO_DEMO","VIEW","TEXTO DIFERENTE","1405","0"
"IV_Q$RETORNADO_JD","VIEW","TEXTO DIFERENTE","801","0"
"IV_Q$REV_DATA_SERVICO","VIEW","TEXTO DIFERENTE","872","0"
"IV_Q$REVISAO_100H","VIEW","so em PRODUCAO","862",""
"IV_Q$REVISAO_1100_1150H","VIEW","so em PRODUCAO","874",""
"IV_Q$REVISAO_1500H","VIEW","so em PRODUCAO","864",""
"IV_Q$REVISAO_450_600H","VIEW","so em PRODUCAO","870",""
"IV_Q$REVISAO_800H","VIEW","so em PRODUCAO","862",""
"IV_Q$REVISAO_FIM_GARANTIA","VIEW","so em PRODUCAO","878",""
"IV_Q$ROMANEIO_DEV_PECA","VIEW","TEXTO DIFERENTE","879","0"
"IV_Q$SEPARACAO_PEDIDO","VIEW","so em PRODUCAO","1319",""
"IV_Q$SERVICO_EXTERNOS_JD","VIEW","TEXTO DIFERENTE","1054","0"
"IV_Q$SERVICOS_AFERICAO","VIEW","TEXTO DIFERENTE","1518","0"
"IV_Q$SOLICITACAO_TCAT","VIEW","TEXTO DIFERENTE","1617","0"
"IV_Q$TESTE_PRIMEIRO_JD","VIEW","TEXTO DIFERENTE","820","0"
"IV_Q$TESTE1","VIEW","TEXTO DIFERENTE","803","0"
"IV_Q$TESTE2","VIEW","TEXTO DIFERENTE","801","0"
"IV_Q$TICKET_DSI","VIEW","TEXTO DIFERENTE","1007","0"
"IV_Q$VENDA","VIEW","TEXTO DIFERENTE","1629","0"
"IV_Q$VENDA_AMS","VIEW","TEXTO DIFERENTE","2335","0"
"IV_Q$VENDA_CONSORCIO","VIEW","TEXTO DIFERENTE","928","0"
"IV_Q$VENDA_DIRETA","VIEW","so em PRODUCAO","1183",""
"IV_Q$VENDA_DSI","VIEW","TEXTO DIFERENTE","1317","0"
"IV_Q$VENDA_EQUIPAMENTO","VIEW","TEXTO DIFERENTE","2822","0"
"IV_Q$VENDA_LOCACAO","VIEW","TEXTO DIFERENTE","2022","0"
"IV_Q$VENDA_MAQUINA_FY25","VIEW","so em PRODUCAO","2346",""
"IV_Q$VENDA_N","VIEW","TEXTO DIFERENTE","2023","0"
"IV_Q$VENDA_PERDIDA","VIEW","TEXTO DIFERENTE","1250","0"
"IV_Q$VENDA_PERDIDA_FY25","VIEW","so em PRODUCAO","1236",""
"IV_Q$VENDA_PERDIDA_IMPL","VIEW","TEXTO DIFERENTE","1074","0"
"IV_Q$VENDA_PERDIDA_IMPLEM","VIEW","TEXTO DIFERENTE","1079","0"
"IV_Q$VENDA_PERDIDA_JDE","VIEW","TEXTO DIFERENTE","1104","0"
"IV_Q$VENDA_PERDIDA_MANITO","VIEW","TEXTO DIFERENTE","1068","0"
"IV_Q$VENDA_PERDIDA_MAQIMP","VIEW","TEXTO DIFERENTE","1173","0"
"IV_Q$VENDA_PERDIDA_PROD","VIEW","TEXTO DIFERENTE","1154","0"
"IV_Q$VENDA_PERDIDA_SEGURO","VIEW","TEXTO DIFERENTE","1271","0"
"IV_Q$VENDA_PERDIDA_TESTE","VIEW","TEXTO DIFERENTE","1139","0"
"IV_Q$VENDA_PNEUS","VIEW","so em PRODUCAO","938",""
"IV_Q$VENDA_PRECISION_UP","VIEW","TEXTO DIFERENTE","1051","0"
"IV_Q$VENDA_SEMINOVO","VIEW","TEXTO DIFERENTE","1117","0"
"IV_Q$VENDA_SERVICOS_AMS","VIEW","TEXTO DIFERENTE","994","0"
"IV_Q$VENDA_VP_PNEUS","VIEW","so em PRODUCAO","907",""
"IV_Q$VENDAPERDIDA_SEGURO","VIEW","TEXTO DIFERENTE","851","0"
"IV_Q$VENDER_RENOVACAO_SEG","VIEW","TEXTO DIFERENTE","1313","0"
"IV_Q$VISITA_DSI","VIEW","TEXTO DIFERENTE","887","0"
"IV_Q$VISITA_EXP_CLIENTE","VIEW","TEXTO DIFERENTE","1255","0"
"IV_Q$VP_COLHEDORA","VIEW","so em PRODUCAO","1148",""
"IV_Q$VP_COLHEITADEIRA","VIEW","so em PRODUCAO","1217",""
"IV_Q$VP_PLANTADEIRA","VIEW","so em PRODUCAO","1296",""
"IV_Q$VP_PULVERIZADOR","VIEW","so em PRODUCAO","1139",""
"IV_Q$VP_RENOVACAO_SEGURO","VIEW","TEXTO DIFERENTE","851","0"
"IV_Q$VP_SEM_PARTICIPACAO","VIEW","so em PRODUCAO","1163",""
"IV_Q$VP_TRATOR","VIEW","so em PRODUCAO","1221",""
"iv_w3_conglomerado","VIEW","so em PRODUCAO","1537",""
"MINUTOS","SQL_SCALAR_FUNCTION","so em PRODUCAO","565",""
"PR_ACERTA_CARTEIRA","SQL_STORED_PROCEDURE","so em PRODUCAO","1964",""
"PR_ACERTA_CIDADE","SQL_STORED_PROCEDURE","so em PRODUCAO","930",""
"PR_ATU_FORMPRODTOTVS","SQL_STORED_PROCEDURE","so em PRODUCAO","2189",""
"PR_ATU_PROCESSO","SQL_STORED_PROCEDURE","so em PRODUCAO","1324",""
"PR_ATU_STATUS","SQL_STORED_PROCEDURE","so em PRODUCAO","1784",""
"PR_ATU_STATUS_DEPTO","SQL_STORED_PROCEDURE","so em PRODUCAO","7325",""
"PR_ATU_STATUS_DEPTO_PAR","SQL_STORED_PROCEDURE","so em PRODUCAO","6164",""
"PR_ATUALIZA_TITULO_INATIVO","SQL_STORED_PROCEDURE","so em PRODUCAO","373",""
