"objeto","tipo","situacao","chars_prod","chars_homo"
"vrtc_p_logtableset","SQL_STORED_PROCEDURE","so em PRODUCAO","5692",""
"VTC_Gera_REL_TBA101","SQL_STORED_PROCEDURE","so em PRODUCAO","16724",""
"VTC_P_GERAAGUARDENTREGA","SQL_STORED_PROCEDURE","so em PRODUCAO","13571",""
"VTC_P_GERAAPROVACAO","SQL_STORED_PROCEDURE","so em PRODUCAO","13475",""
"VTC_P_GERACONDPAGTO","SQL_STORED_PROCEDURE","so em PRODUCAO","13818",""
"VTC_P_Historico","SQL_STORED_PROCEDURE","so em PRODUCAO","3566",""
"VTC_P_INSERE_EMAIL_CART","SQL_STORED_PROCEDURE","so em PRODUCAO","3768",""
"VTC_P_INSERE_FONE_CART","SQL_STORED_PROCEDURE","so em PRODUCAO","7960",""
"VTC_P_INSERE_PROPR_CART","SQL_STORED_PROCEDURE","so em PRODUCAO","3131",""
"VTC_T_AUDITORIA","SQL_TRIGGER","TEXTO DIFERENTE","8922","0"
"VW_REL_TBA101","VIEW","so em PRODUCAO","6120",""
"X_BI_PROSPECCAO_MAQUINAS_BASE_FATURAMENTO","SQL_STORED_PROCEDURE","so em PRODUCAO","4797",""
"X_BI_PROSPECCAO_MAQUINAS_FATURAMENTO","SQL_STORED_PROCEDURE","so em PRODUCAO","5216",""
"X_BI_PROSPECCAO_MAQUINAS_PEDIDO","SQL_STORED_PROCEDURE","so em PRODUCAO","5103",""
"X_CRM_BI_CONGLOMERADO","VIEW","TEXTO DIFERENTE","1395","0"
"X_CRM_BI_FATURAMENTO_PECA_CARTEIRA","VIEW","TEXTO DIFERENTE","4660","0"
"X_CRM_BI_FUNIL_PECA_CARTEIRA","VIEW","TEXTO DIFERENTE","8984","0"
"X_CRM_BI_FUNIL_PECA_CLASSE","VIEW","TEXTO DIFERENTE","6563","0"
"X_P_EXE_INTEGRACOES_TOTVS_CRM","SQL_STORED_PROCEDURE","so em PRODUCAO","730",""
"X_P_IMP_CRM_NF_POS_VENDA","SQL_STORED_PROCEDURE","so em PRODUCAO","10989",""
"X_P_IMP_CRM_TITULO","SQL_STORED_PROCEDURE","so em PRODUCAO","6524",""
"X_P_REL_001","SQL_STORED_PROCEDURE","so em PRODUCAO","10078",""
