"fk_id","fk_nome","parent_object_id","tabela_origem","tabela_ref","acao_exclusao","acao_atualizacao","is_disabled","is_not_trusted"
"697209684","FK__IV_Q_AFER__SEQQU__298E9354","665209570","IV_Q_AFERICAO_MAQ_3_CONT","IV_Questionario","CASCADE","NO_ACTION","False","False"
"698589677","FK__EXT_VeicM__IdVei__29A3A1ED","1167447333","EXT_VeicModPlano","EXT_VeicModelo","NO_ACTION","NO_ACTION","False","False"
"702781711","FK__IV_Q_GEST__SEQQU__29E3990F","670781597","IV_Q_GESTAO_CREDITO_IMP","IV_Questionario","CASCADE","NO_ACTION","False","False"
"704109649","FK__GE_Col__Tabela__29F7DC51","1833825645","GE_Col","GE_Tab","NO_ACTION","NO_ACTION","False","False"
"706869635","FK__IV_Q_APRE__SEQQU__2A21F983","674869521","IV_Q_APRESENTACAO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"707585659","FK__IV_Seleca__SeqSe__2A2CE67B","891150220","IV_SelecaoCriterio","IV_Selecao","CASCADE","NO_ACTION","False","False"
"711061669","FK__GE_QVPast__SeqCo__2A61F0A5","706101556","GE_QVPastaCons","GE_QVCons","CASCADE","NO_ACTION","False","False"
"714589734","FK__EXT_VeicM__SeqPl__2A97C626","1167447333","EXT_VeicModPlano","EXT_VeicPlanoMan","NO_ACTION","NO_ACTION","False","False"
"716633696","FK__IV_FichaN__SeqFi__2AB6F660","846626059","IV_FichaNegVeic","IVF_Financeira","NO_ACTION","NO_ACTION","False","False"
"720057651","FK__IV_Q_DEMO__SEQQU__2AEB3533","688057537","IV_Q_DEMONSTRACAO_TRATOR","IV_Questionario","CASCADE","NO_ACTION","False","False"
"720109706","FK__GE_ColRegra__2AEC008A","1865825759","GE_ColRegra","GE_Col","CASCADE","NO_ACTION","False","False"
"722153668","FK__IV_Q_AVAL__SEQQU__2B0B30C4","690153554","IV_Q_AVAL_COLH_CANA_USADA","IV_Questionario","CASCADE","NO_ACTION","False","False"
"723585716","FK__IV_Seleca__SeqPe__2B210AB4","923150334","IV_SelecaoPessoa","GE_Pessoa","CASCADE","NO_ACTION","False","False"
"727061726","FK__GE_QVPast__SeqPa__2B5614DE","706101556","GE_QVPastaCons","GE_QVPasta","CASCADE","NO_ACTION","False","False"
"730589791","FK__EXT_VeicP__SeqTi__2B8BEA5F","535777066","EXT_VeicPlanoMan","EXT_VeicTipoMan","NO_ACTION","NO_ACTION","False","False"
"732021839","FK__IV_Q_RECE__SEQQU__2BA1C44F","700021725","IV_Q_RECEBIMENTO_A_PRAZO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"739585773","FK__IV_Seleca__SeqSe__2C152EED","923150334","IV_SelecaoPessoa","IV_Selecao","CASCADE","NO_ACTION","False","False"
"1481212477","FK__IV_Q_AFER__SEQQU__5849823D","1449212363","IV_Q_AFERICAO_IMPLEMENTO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1482540415","FK__IV_Client__SeqPe__585DC57F","174623665","IV_ClientePropr","GE_Pessoa","CASCADE","NO_ACTION","False","False"
"1483972463","FK__EXT_VEICA__SEQVE__58739F6F","1451972349","EXT_VEICAGDERP","EXT_VeicAgd","CASCADE","NO_ACTION","False","False"
"1487448473","FK__EXT_NFSIt__IdVen__58A8A999","527445053","EXT_NFSItem","EXT_Vendedor","NO_ACTION","NO_ACTION","False","False"
