"SeqCampanha","Campanha","Descricao","Detalhe","Grupo","DtaInicio","DtaFim","EmUso","UsuInclusao","DtaInclusao","UsuAlteracao","DtaAlteracao","ProvedorSmsPL","Resultado","PrioridadeMail2Easy","DetHistorico","PRIORIDADEALLIN","PRIORIDADEEMAIL","PRIORIDADESMS","PRIORIDADECORREIO","SEQTXTPADRAO","INDINTERATIVO","CODCAMPANHA","SEQCONTEUDO","SEQFORMULARIO","SEQEMAILTEMPLATE","PROVEDOREMAILPL","EMAILHORAINI","EMAILHORAFIM","SMSHORAINI","SMSHORAFIM","QTDMSG","IDULTUPLOAD"
"128","CONSORCIO","Consorcio","Clientes consorcio","VENDAS","22/10/2020 00:00:00","31/12/2020 00:00:00","0","VANESSA.ALVES","22/10/2020 00:00:00","VANESSA.ALVES","22/10/2020 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"129","INATPEC10.20","Inativos peças Outubro 2020","Inativos peças Outubro 2020
Cliente sem compra agosto, setembro e outubro","VENDAS","04/11/2020 00:00:00","04/01/2021 00:00:00","0","VANESSA.ALVES","04/11/2020 00:00:00","VANESSA.ALVES","04/11/2020 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"131","TESTES.DIEGO","Teste Diego","Teste Diego","VENDAS","06/11/2020 00:00:00","12/11/2020 00:00:00","0","VANESSA.ALVES","06/11/2020 00:00:00","VANESSA.ALVES","06/11/2020 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"132","CONCORRENTE","Concorrente","Lista de prospects coopercitrus","VENDAS","17/12/2020 00:00:00","30/12/2022 00:00:00","0","VANESSA.ALVES","17/12/2020 00:00:00","VANESSA.ALVES","17/12/2020 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"134","*CONSORCIO*","Semana do Consorcio","Semana focada em vendas de consorcio","VENDAS","01/03/2021 00:00:00","28/05/2021 00:00:00","0","VANESSA.ALVES","01/03/2021 00:00:00","VANESSA.ALVES","01/03/2021 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"135","LANC_APP_COL","Lançamento App Colorado Conecta","Lançamento App Colorado Conecta","VENDAS","22/03/2021 00:00:00","22/12/2021 00:00:00","0","VANESSA.ALVES","22/03/2021 00:00:00","VANESSA.ALVES","22/03/2021 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"136","DIA D NEGOC","DIA DE NEGOCIO COLORADO","Realizado campanha Dia de Negócio com divulgação em massa nas redes socias Haverá um treinamento COM FOCO EM FECHAMENTO a campanha é valida somente para fechamentos no dia 16/04/2021.","VENDAS","15/04/2021 00:00:00","25/04/2021 00:00:00","0","VANESSA.ALVES","15/04/2021 00:00:00","VANESSA.ALVES","15/04/2021 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"137","MD_CONSORCIO","MALA DIRETA CONSORCIO","Selecionado 120 clientes para envio de Mala Direta e brinde para venda de consórcio","VENDAS","01/06/2021 00:00:00","01/07/2021 00:00:00","0","VANESSA.ALVES","28/05/2021 00:00:00","VANESSA.ALVES","28/05/2021 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"138","CHECKLIST_TR","Pacote Pos Vendas","Venda de pacotes serviços - checklist trator","VENDAS","23/08/2021 00:00:00","23/10/2021 00:00:00","0","VANESSA.ALVES","23/08/2021 00:00:00","VANESSA.ALVES","23/08/2021 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"139","COL_SHOW21","Colorado Show 2021","Colorado Show 2021","VENDAS","15/09/2021 00:00:00","30/11/2021 00:00:00","0","VANESSA.ALVES","15/09/2021 00:00:00","VANESSA.ALVES","15/09/2021 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"140","ALERTA_CSC","ALERTA_CSC","Oportunidades geradas a partir dos alertas do CSC","VENDAS","17/01/2022 00:00:00","31/12/2022 00:00:00","0","VANESSA.ALVES","10/01/2022 00:00:00","VANESSA.ALVES","10/01/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"141","IMPL_GRAOS","Campanha implementos Graos 2022","Campanha para venda de Implementos voltados para o segmento grãos.

Cliente terá até 60 dias para pagar sem juros.","VENDAS","12/01/2022 00:00:00","30/04/2022 00:00:00","0","VANESSA.ALVES","12/01/2022 00:00:00","VANESSA.ALVES","12/01/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"143","IMPL_CANA22","Campanha implementos Cana 2022","Campanha para venda de Implementos voltados para o segmento Cana","VENDAS","12/01/2022 00:00:00","30/04/2022 00:00:00","0","VANESSA.ALVES","12/01/2022 00:00:00","VANESSA.ALVES","12/01/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"144","SEGUROS","Seguros","Teste venda de seguro","VENDAS","14/01/2022 00:00:00","31/12/2022 00:00:00","0","VANESSA.ALVES","14/01/2022 00:00:00","VANESSA.ALVES","14/01/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"145","CONSORCIO_22","CONSÓRCIO NACIONAL JOHN DEERE 2022","Campanha Consórcio Nacional John Deere ganhe um Kit Churrasco Exclusivo","VENDAS","09/02/2022 00:00:00","31/12/2022 00:00:00","0","VANESSA.ALVES","09/02/2022 00:00:00","VANESSA.ALVES","09/02/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"147","SAFRA_GRÃOS","Abertura de Safra-Colheitadeira de Grãos","Abertura de Safra - Colheitadeira de Grãos (Video Roger)","VENDAS","22/02/2022 00:00:00","31/12/2022 00:00:00","0","VANESSA.ALVES","22/02/2022 00:00:00","VANESSA.ALVES","22/02/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
