"SeqAcaoAuto","Pcte","NroEmpresa","Resultado","ResultadoCmpl","Acao","SeqUsuario","AssuntoCmpl","Operacao","UsaObjDyn","Exigida","GerarPara","FormaGeracao","QtdeDias","QtdeHU","Departamento","AtivoReceptivo","FormaPrimCont","Prioridade","SemConfirmacao","TipoAgendamento","Mesmoprocesso","SeqOrder","CHKSUM","QuebraDNA","EXIGESCOLHAATDGRPO","INDGERAPARAPESPRC","EMUSO","PROPAGAFORMTRAB","SOLICDATAAGD","HORAAGENDA"
"51","","1","940040","","","242","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"52","","7","940040","","","247","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"53","","11","940040","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"54","","3","940040","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"61","","11","940039","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"62","","3","940039","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"63","","2","940039","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"64","","11","940094","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"65","","3","940094","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"66","","2","940094","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"67","","11","940095","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"68","","3","940095","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"69","","2","940095","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"70","","11","940097","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"71","","3","940097","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"72","","2","940097","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"95","","","4","","940030","686","","","","N","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"96","","1","5","","940006","248","","","","N","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"97","","1","940133","","940031","606","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","0","","0",""
"98","","7","940133","","940031","326","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","0","","0",""
"99","","4","940133","","940031","326","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","0","","0",""
"100","","11","940133","","940031","326","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","0","","0",""
"101","","3","940133","","940031","50","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","0","","0",""
"102","","2","940133","","940031","421","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","0","","0",""
"103","","1","940126","","940028","8","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"104","","7","940126","","940028","9","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"105","","4","940126","","940028","10","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"106","","11","940126","","940028","12","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"107","","3","940126","","940028","11","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"108","","2","940126","","940028","13","","","","S","","","0","0,00","","A","","","N","A","N","1","","0","0","","1","","0",""
"124","","7","5","","940006","248","","","","N","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"125","","4","5","","940006","248","","","","N","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"126","","11","5","","940006","248","","","","N","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"127","","3","5","","940006","248","","","","N","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"128","","2","5","","940006","248","","","","N","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"129","","7","940119","","940025","247","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"130","","4","940119","","940025","247","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"131","","11","940119","","940025","245","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"132","","3","940119","","940025","243","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"133","","2","940119","","940025","244","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"135","","","38","SOLICITA ATENDIMENTO","3","","","","","S","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"136","","","39","SOLICITA ATENDIMENTO","2","","","","","N","","","0","0,00","","A","","","N","A","S","1","","0","0","","1","","0",""
"137","","2","940225","","","244","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"138","","3","940225","","","243","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"139","","11","940225","","","245","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
"140","","4","940225","","","246","","","","S","","","0","0,00","","A","","","N","C","S","1","","0","0","","1","","0",""
