"SeqRegra","SeqCons","Regra","Ordem","Condicao","Acao1","Acao2"
"212","101","SE_AGD_ENV_XML","01","[[AGD_ENV_XML]]= 'N'","[[ENV_XML]] [SETA_ACIMA] [VERDE]",""
"213","101","SE_AGD_EMT_NF_IRS","01","[[AGD_EMT_NF_INC]]= 'N'","[[EMT_NF_INC]] [SETA_ACIMA] [VERDE]",""
"214","101","SE_ACMP_INC_APR","10","[[ACMP_INC]] <= 5 and [[ACMP_INC]] >= 0","[[ACMP_INC]] [COR_FUNDO] #COR=32768","[[ACMP_INC]] [COR_TEXTO] #COR=16777215"
"215","101","SE_ACMP_INC_FPR","10","[[ACMP_INC]] > 5","[[ACMP_INC]] [COR_FUNDO] #COR=255","[[ACMP_INC]] [COR_TEXTO] #COR=16777215"
"216","101","SE_ACMP_INC_NPR","10","[[ACMP_INC]] = 5","[[ACMP_INC]] [COR_FUNDO] #COR=65535","[[ACMP_INC]] [COR_TEXTO] #COR=0"
"217","101","SE_INF_COT_ALC_APR","10","[[INF_COT_ALC]] <= 3 and [[INF_COT_ALC]] >= 0","[[INF_COT_ALC]] [COR_FUNDO] #COR=32768","[[INF_COT_ALC]] [COR_TEXTO] #COR=16777215"
"218","101","SE_INF_COT_ALC_FPR","10","[[INF_COT_ALC]] > 3","[[INF_COT_ALC]] [COR_FUNDO] #COR=255","[[INF_COT_ALC]] [COR_TEXTO] #COR=16777215"
"219","101","SE_INF_COT_ALC_NPR","10","[[INF_COT_ALC]] = 3","[[INF_COT_ALC]] [COR_FUNDO] #COR=65535","[[INF_COT_ALC]] [COR_TEXTO] #COR=0"
"220","101","SE_CAD_ALC_IRS_APR","10","[[CAD_ALC_IRS]] <= 10 and [[CAD_ALC_IRS]] >= 0","[[CAD_ALC_IRS]] [COR_FUNDO] #COR=32768","[[CAD_ALC_IRS]] [COR_TEXTO] #COR=16777215"
"221","101","SE_CAD_ALC_IRS_FPR","10","[[CAD_ALC_IRS]] > 10","[[CAD_ALC_IRS]] [COR_FUNDO] #COR=255","[[CAD_ALC_IRS]] [COR_TEXTO] #COR=16777215"
"222","101","SE_CAD_ALC_IRS_NPR","10","[[CAD_ALC_IRS]] = 10","[[CAD_ALC_IRS]] [COR_FUNDO] #COR=65535","[[CAD_ALC_IRS]] [COR_TEXTO] #COR=0"
"223","101","SE_ENV_XML_APR","10","[[ENV_XML]] <= 1 and [[ENV_XML]] >= 0","[[ENV_XML]] [COR_FUNDO] #COR=32768","[[ENV_XML]] [COR_TEXTO] #COR=16777215"
