"SeqRegra","SeqCons","Regra","Ordem","Condicao","Acao1","Acao2"
"93","87","SE_AGD_PREP_DOC","01","[[AGD_PREP_DOC]]= 'N'","[[PREP_DOC]] [SETA_ACIMA] [VERDE]",""
"94","87","SE_AGD_REC_PED","01","[[AGD_REC_PED]]= 'N'","[[REC_PED]] [SETA_ACIMA] [VERDE]",""
"95","87","SE_AGD_INF_AG","01","[[AGD_INF_AG]]= 'N'","[[INF_AG]] [SETA_ACIMA] [VERDE]",""
"96","87","SE_AGD_CHEC_INT","01","[[AGD_CHEC_INT]]= 'N'","[[CHEC_INT]] [SETA_ACIMA] [VERDE]",""
"97","87","SE_AGD_PRE_ENT","01","[[AGD_PRE_ENT]]= 'N'","[[PRE_ENT]] [SETA_ACIMA] [VERDE]",""
"98","87","SE_AGD_DATA","01","[[AGD_DATA]]= 'N'","[[DATA]] [SETA_ACIMA] [VERDE]",""
"99","87","SE_AGD_CONF","01","[[AGD_CONF]] = 'N'","[[CONF]] [SETA_ACIMA] [VERDE]",""
"100","87","SE_AGD_PROG","01","[[AGD_PROG]]= 'N'","[[PROG]] [SETA_ACIMA] [VERDE]",""
"101","87","SE_AGD_FAT","01","[[AGD_FAT]]= 'N'","[[FAT]] [SETA_ACIMA] [VERDE]",""
"102","87","SE_AGD_E_FIS","01","[[AGD_E_FIS]]= 'N'","[[E_FIS]] [SETA_ACIMA] [VERDE]",""
"103","87","SE_AGD_SHOW","01","[[AGD_SHOW]]= 'N'","[[SHOW]] [SETA_ACIMA] [VERDE]",""
"104","87","SE_AGD_TECN","01","[[AGD_TECN]]= 'N'","[[TECN]] [SETA_ACIMA] [VERDE]",""
"105","87","SE_CHINT_NOPRAZO","01","[[CHEC_INT]] = 2","[[CHEC_INT]] [COR_FUNDO] #COR=65535","[[CHEC_INT]] [COR_TEXTO] #COR=0"
"106","87","SE_PREENT_ANTESPRAZO","01","[[PRE_ENT]] < 3 and [[PRE_ENT]] >= 0","[[PRE_ENT]] [COR_FUNDO] #COR=32768","[[PRE_ENT]] [COR_TEXTO] #COR=16777215"
"107","87","SE_PREENT_FORAPRAZO","01","[[PRE_ENT]] > 3","[[PRE_ENT]] [COR_FUNDO] #COR=255","[[PRE_ENT]] [COR_TEXTO] #COR=16777215"
"108","87","SE_PREENT_NOPRAZO","01","[[PRE_ENT]] = 3","[[PRE_ENT]] [COR_FUNDO] #COR=65535","[[PRE_ENT]] [COR_TEXTO] #COR=0"
"109","87","SE_DESCON_ANTESPRAZO","01","[[DES_CONT]] < 1 and [[DES_CONT]] >= 0","[[DES_CONT]] [COR_FUNDO] #COR=32768","[[DES_CONT]] [COR_TEXTO] #COR=16777215"
"110","87","SE_DESCONT_FORAPRAZO","01","[[DES_CONT]] > 1","[[DES_CONT]] [COR_FUNDO] #COR=255","[[DES_CONT]] [COR_TEXTO] #COR=16777215"
"111","87","SE_DESCONT_NOPRAZO","01","[[DES_CONT]] = 1","[[DES_CONT]] [COR_FUNDO] #COR=65535","[[DES_CONT]] [COR_TEXTO] #COR=0"
"112","87","SE_CONF_ANTESPRAZO","01","[[CONF]] < 1 and [[CONF]] >= 0","[[CONF]] [COR_FUNDO] #COR=32768","[[CONF]] [COR_TEXTO] #COR=16777215"
"113","87","SE_CONF_FORAPRAZO","01","[[CONF]] > 1","[[CONF]] [COR_FUNDO] #COR=255","[[CONF]] [COR_TEXTO] #COR=16777215"
"114","87","SE_CONF_NOPRAZO","01","[[CONF]] = 1","[[CONF]] [COR_FUNDO] #COR=65535","[[CONF]] [COR_TEXTO] #COR=0"
"115","87","SE_PROG_ANTESPRAZO","01","[[PROG]] < 1 and [[PROG]] >= 0","[[PROG]] [COR_FUNDO] #COR=32768","[[PROG]] [COR_TEXTO] #COR=16777215"
"116","87","SE_PROG_FORAPRAZO","01","[[PROG]] > 1","[[PROG]] [COR_FUNDO] #COR=255","[[PROG]] [COR_TEXTO] #COR=16777215"
"117","87","SE_PROG_NOPRAZO","01","[[PROG]] = 1","[[PROG]] [COR_FUNDO] #COR=65535","[[PROG]] [COR_TEXTO] #COR=0"
"118","87","SE_FAT_ANTESPRAZO","01","[[FAT]] < 0 and [[FAT]] >= 0","[[FAT]] [COR_FUNDO] #COR=32768","[[FAT]] [COR_TEXTO] #COR=16777215"
"119","87","SE_FAT_FORAPRAZO","01","[[FAT]] > 0","[[FAT]] [COR_FUNDO] #COR=255","[[FAT]] [COR_TEXTO] #COR=16777215"
"120","87","SE_FAT_NOPRAZO","01","[[FAT]] = 0","[[FAT]] [COR_FUNDO] #COR=65535","[[FAT]] [COR_TEXTO] #COR=0"
"121","87","SE_EFIS_ANTESPRAZO","01","[[E_FIS]] < 1 and [[E_FIS]] >= 0","[[E_FIS]] [COR_FUNDO] #COR=32768","[[E_FIS]] [COR_TEXTO] #COR=16777215"
"122","87","SE_EFIS_FORAPRAZO","01","[[E_FIS]] > 1","[[E_FIS]] [COR_FUNDO] #COR=255","[[E_FIS]] [COR_TEXTO] #COR=16777215"
"123","87","SE_EFIS_NOPRAZO","01","[[E_FIS]] = 1","[[E_FIS]] [COR_FUNDO] #COR=65535","[[E_FIS]] [COR_TEXTO] #COR=0"
"124","87","SE_SHOW_ANTESPRAZO","01","[[SHOW]] < 1 and [[SHOW]] >= 0","[[SHOW]] [COR_FUNDO] #COR=32768","[[SHOW]] [COR_TEXTO] #COR=16777215"
"125","87","SE_SHOW_FORAPRAZO","01","[[SHOW]] > 1","[[SHOW]] [COR_FUNDO] #COR=255","[[SHOW]] [COR_TEXTO] #COR=16777215"
"126","87","SE_SHOW_NOPRAZO","01","[[SHOW]] = 1","[[SHOW]] [COR_FUNDO] #COR=65535","[[SHOW]] [COR_TEXTO] #COR=0"
"127","87","SE_TECN_ANTESPRAZO","01","[[TECN]] < 4 and [[TECN]] >= 0","[[TECN]] [COR_FUNDO] #COR=32768","[[TECN]] [COR_TEXTO] #COR=16777215"
"128","87","SE_TECN_FORAPRAZO","01","[[TECN]] > 4","[[TECN]] [COR_FUNDO] #COR=255","[[TECN]] [COR_TEXTO] #COR=16777215"
"129","87","SE_TECN_NOPRAZO","01","[[TECN]] = 4","[[TECN]] [COR_FUNDO] #COR=65535","[[TECN]] [COR_TEXTO] #COR=0"
"130","87","TOTAL","","[[DTA_COMB_CLIENTE]] < [[DTA_ENTREGA]]","[[TOTAL]] #COR=255","[[TOTAL]] [COR_TEXTO] #COR=16777215"
"131","87","SE_COMB_ANTESPRAZO","01","[[ENTREGA]] < 0 AND [[ENTREGA]] > -999","[[ENTREGA]] [SETA_ACIMA] [VERDE]",""
"132","87","SE_COMB_NOPRAZO","01","[[ENTREGA]] = 0","[[ENTREGA]] [SETA_ACIMA] [AMARELO]",""
"133","87","SE_DIAS_NOPRAZO","01","[[COMBINADO]] > 0","[[COMBINADO]] [SETA_ABAIXO] [VERMELHO]",""
"134","87","SE_DATA_ANTESPRAZO","01","[[DATA]] < 1 and [[DATA]] >= 0","[[DATA]] [COR_FUNDO] #COR=32768","[[DATA]] [COR_TEXTO] #COR=16777215"
"135","87","SE_DATA_FORAPRAZO","01","[[DATA]] > 1","[[DATA]] [COR_FUNDO] #COR=255","[[DATA]] [COR_TEXTO] #COR=16777215"
"136","87","SE_DATA_NOPRAZO","01","[[DATA]] = 1","[[DATA]] [COR_FUNDO] #COR=65535","[[DATA]] [COR_TEXTO] #COR=0"
"137","87","SE_AGD_APROV","01","[[AGD_APROV]] = 'N'","[[APROV]] [SETA_ACIMA] [VERDE]",""
"138","87","SE_AGD_PREP_DOC","01","[[AGD_PREP_DOC]]= 'N'","[[PREP_DOC]] [SETA_ACIMA] [VERDE]",""
"139","87","SE_AGD_REC_PED","01","[[AGD_REC_PED]]= 'N'","[[REC_PED]] [SETA_ACIMA] [VERDE]",""
"140","87","SE_AGD_INF_AG","01","[[AGD_INF_AG]]= 'N'","[[INF_AG]] [SETA_ACIMA] [VERDE]",""
"141","87","SE_AGD_CHEC_INT","01","[[AGD_CHEC_INT]]= 'N'","[[CHEC_INT]] [SETA_ACIMA] [VERDE]",""
"142","87","SE_AGD_PRE_ENT","01","[[AGD_PRE_ENT]]= 'N'","[[PRE_ENT]] [SETA_ACIMA] [VERDE]",""
"143","87","SE_AGD_DATA","01","[[AGD_DATA]]= 'N'","[[DATA]] [SETA_ACIMA] [VERDE]",""
"144","87","SE_AGD_CONF","01","[[AGD_CONF]] = 'N'","[[CONF]] [SETA_ACIMA] [VERDE]",""
"145","87","SE_AGD_PROG","01","[[AGD_PROG]]= 'N'","[[PROG]] [SETA_ACIMA] [VERDE]",""
"146","87","SE_AGD_FAT","01","[[AGD_FAT]]= 'N'","[[FAT]] [SETA_ACIMA] [VERDE]",""
"147","87","SE_AGD_E_FIS","01","[[AGD_E_FIS]]= 'N'","[[E_FIS]] [SETA_ACIMA] [VERDE]",""
"148","87","SE_AGD_SHOW","01","[[AGD_SHOW]]= 'N'","[[SHOW]] [SETA_ACIMA] [VERDE]",""
"149","87","SE_AGD_TECN","01","[[AGD_TECN]]= 'N'","[[TECN]] [SETA_ACIMA] [VERDE]",""
"150","99","SE_APROV_ANTESPRAZO","01","[[APROV]] <= 1 and [[APROV]] >= 0","[[APROV]] [COR_FUNDO] #COR=32768","[[APROV]] [COR_TEXTO] #COR=16777215"
"151","99","SE_APROV_FORAPRAZO","01","[[APROV]] > 1","[[APROV]] [COR_FUNDO] #COR=255","[[APROV]][COR_TEXTO] #COR=16777215"
"152","99","SE_APROV_NOPRAZO","01","[[APROV]] = 1","[[APROV]] [COR_FUNDO] #COR=65535","[[APROV]] [COR_TEXTO] #COR=0"
"153","99","SE_RECPED_ANTESPRAZO","01","[[REC_PED]] < 3 and [[REC_PED]] >= 0","[[REC_PED]][COR_FUNDO] #COR=32768","[[REC_PED]][COR_TEXTO] #COR=16777215"
"154","99","SE_RECPED_FORAPRAZO","01","[[REC_PED]] > 3","[[REC_PED]] [COR_FUNDO] #COR=255","[[REC_PED]] [COR_TEXTO] #COR=16777215"
"155","99","SE_RECPED_NOPRAZO","01","[[REC_PED]] = 3","[[REC_PED]] [COR_FUNDO] #COR=65535","[[REC_PED]] [COR_TEXTO] #COR=0"
"156","99","SE_DISP_ANTESPRAZO","01","[[DISP]] < 1 and [[DISP]] >= 0","[[DISP]] [COR_FUNDO] #COR=32768","[[DISP]] [COR_TEXTO] #COR=16777215"
"157","99","SE_DISP_FORAPRAZO","01","[[DISP]] > 0","[[DISP]] [COR_FUNDO] #COR=255","[[DISP]] [COR_TEXTO] #COR=16777215"
"158","99","SE_DISP_NOPRAZO","01","[[DISP]] = 0","[[DISP]] [COR_FUNDO] #COR=65535","[[DISP]] [COR_TEXTO] #COR=0"
"159","99","SE_INFAG_ANTESPRAZO","01","[[INF_AG]] < 1 and [[INF_AG]] >= 0","[[INF_AG]] [COR_FUNDO] #COR=32768","[[INF_AG]] [COR_TEXTO] #COR=16777215"
"160","99","SE_INF_AG_FORAPRAZO","01","[[INF_AG]] > 0","[[INF_AG]] [COR_FUNDO] #COR=255","[[INF_AG]] [COR_TEXTO] #COR=16777215"
"161","99","SE_INF_AG_NOPRAZO","01","[[INF_AG]] = 0","[[INF_AG]] [COR_FUNDO] #COR=65535","[[INF_AG]] [COR_TEXTO] #COR=0"
"162","99","SE_CHINT_ANTESPRAZO","01","[[CHEC_INT]] < 2 and [[CHEC_INT]] >= 0","[[CHEC_INT]][COR_FUNDO] #COR=32768","[[CHEC_INT]][COR_TEXTO] #COR=16777215"
"163","99","SE_CHINT_FORAPRAZO","01","[[CHEC_INT]] > 2","[[CHEC_INT]] [COR_FUNDO] #COR=255","[[CHEC_INT]] [COR_TEXTO] #COR=16777215"
"164","99","SE_CHINT_NOPRAZO","01","[[CHEC_INT]] = 2","[[CHEC_INT]] [COR_FUNDO] #COR=65535","[[CHEC_INT]] [COR_TEXTO] #COR=0"
"165","99","SE_PREENT_ANTESPRAZO","01","[[PRE_ENT]] < 3 and [[PRE_ENT]] >= 0","[[PRE_ENT]] [COR_FUNDO] #COR=32768","[[PRE_ENT]] [COR_TEXTO] #COR=16777215"
"166","99","SE_PREENT_FORAPRAZO","01","[[PRE_ENT]] > 3","[[PRE_ENT]] [COR_FUNDO] #COR=255","[[PRE_ENT]] [COR_TEXTO] #COR=16777215"
"167","99","SE_PREENT_NOPRAZO","01","[[PRE_ENT]] = 3","[[PRE_ENT]] [COR_FUNDO] #COR=65535","[[PRE_ENT]] [COR_TEXTO] #COR=0"
"168","99","SE_DESCON_ANTESPRAZO","01","[[DES_CONT]] < 1 and [[DES_CONT]] >= 0","[[DES_CONT]] [COR_FUNDO] #COR=32768","[[DES_CONT]] [COR_TEXTO] #COR=16777215"
"169","99","SE_DESCONT_FORAPRAZO","01","[[DES_CONT]] > 1","[[DES_CONT]] [COR_FUNDO] #COR=255","[[DES_CONT]] [COR_TEXTO] #COR=16777215"
"170","99","SE_DESCONT_NOPRAZO","01","[[DES_CONT]] = 1","[[DES_CONT]] [COR_FUNDO] #COR=65535","[[DES_CONT]] [COR_TEXTO] #COR=0"
"171","99","SE_CONF_ANTESPRAZO","01","[[CONF]] < 1 and [[CONF]] >= 0","[[CONF]] [COR_FUNDO] #COR=32768","[[CONF]] [COR_TEXTO] #COR=16777215"
"172","99","SE_CONF_FORAPRAZO","01","[[CONF]] > 1","[[CONF]] [COR_FUNDO] #COR=255","[[CONF]] [COR_TEXTO] #COR=16777215"
