"Seq","Modulo","Item","SeqPolSeg","Str","DtaAlteracao","UsuAlteracao"
"88","CRM_M001","ATD_ROL_90","1","1","06/11/2023 08:52:00","VTCCONS"
"89","CRM_M001","ATD_ROLG_10","1","1","06/11/2023 08:52:00","VTCCONS"
"90","CRM_M001","ATD_ROL_90","4","1","24/11/2023 14:52:34","LIVIA.SILVA"
"91","CRM_M001","ATD_ROLG_10","4","1","24/11/2023 14:52:34","LIVIA.SILVA"
"92","CRM_M001","ATD_PES_50_VINC","1","6","05/12/2023 11:30:00","VTCCONS"
"93","CRM_M001","ATD_CT0_10","5","T","25/03/2013 12:19:26","VTCCONS"
"94","CRM_M001","ATD_CT0_20","5","T","25/03/2013 12:19:26","VTCCONS"
"95","CRM_M001","ATD_CT0_22","5","T","25/03/2013 12:19:26","VTCCONS"
"96","CRM_M001","ATD_PRC_20_DEL","5","0","27/03/2013 19:35:51","VTCCONS"
"97","CRM_M001","ATD_PRC_20_DELALL","5","0","27/03/2013 19:35:51","VTCCONS"
"98","CRM_M001","ATD_PES_10","5","1","27/10/2016 09:57:33","VANESSA.ALVES"
"99","CRM_M001","ATD_PES_11","5","1","09/10/2013 10:45:05","VTCCONS"
"100","CRM_M001","ATD_SGM_20","5","8","05/11/2019 10:29:43","DIEGO.MARQUES"
"101","CRM_M001","ATD_AG0_70_QTLM","5","0","12/02/2015 11:45:49","JULIANA.PLACIDI"
"102","CRM_M001","ATD_PES_50_VINC","5","6","19/03/2015 08:55:24","JACQUELINE.DUARTE"
"103","CRM_M001","ATD_PES_12","5","1","22/11/2016 17:27:21","VANESSA.ALVES"
"104","CRM_M051","PESCAD_LATLONGITUDE","5","1","10/11/2016 14:25:50","VANESSA.ALVES"
"105","CRM_M051","JUNO_CGO2","5","1","13/08/2019 09:08:23","DIEGO.MARQUES"
"106","GLB_M001","GLB_LGPD_10","5","0","06/06/2023 10:43:00","DIEGO.MARQUES"
"107","CRM_M001","ATD_ROLG_10","5","1","03/11/2023 11:48:53","LIVIA.SILVA"
"108","CRM_M001","ATD_ROL_90","5","1","03/11/2023 15:43:58","LIVIA.SILVA"
"109","CRM_M001","ATD_PRC_50_DELALL","5","1","11/11/2024 12:00:48","MATHEUS.AUGUSTO"
"110","CRM_M001","ATD_CT0_10","6","T","25/03/2013 12:19:26","VTCCONS"
"111","CRM_M001","ATD_CT0_20","6","T","02/12/2024 14:18:19","NETO.PRADO"
"112","CRM_M001","ATD_CT0_22","6","T","02/12/2024 14:18:19","NETO.PRADO"
"113","CRM_M001","ATD_PRC_20_DEL","6","0","27/03/2013 19:35:51","VTCCONS"
"114","CRM_M001","ATD_PRC_20_DELALL","6","0","27/03/2013 19:35:51","VTCCONS"
"115","CRM_M001","ATD_PES_10","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"116","CRM_M001","ATD_PES_11","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"117","CRM_M001","ATD_SGM_20","6","8","05/11/2019 10:29:43","DIEGO.MARQUES"
"118","CRM_M001","ATD_AG0_70_QTLM","6","0","12/02/2015 11:45:49","JULIANA.PLACIDI"
"119","CRM_M001","ATD_PES_50_VINC","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"120","CRM_M001","ATD_PES_12","6","1","21/02/2025 07:54:33","MATHEUS.AUGUSTO"
"121","CRM_M051","PESCAD_LATLONGITUDE","6","1","10/11/2016 14:25:50","VANESSA.ALVES"
"122","CRM_M051","JUNO_CGO2","6","0","27/11/2024 14:29:12","NETO.PRADO"
"123","GLB_M001","GLB_LGPD_10","6","0","06/06/2023 10:43:00","DIEGO.MARQUES"
"124","CRM_M001","ATD_ROLG_10","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"125","CRM_M001","ATD_ROL_90","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"126","CRM_M001","ATD_PES_30_LNK","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"127","CRM_M001","ATD_AG0_05_RETRO","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"128","CRM_M001","ATD_AG0_06_FRMTRB","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"129","CRM_M001","ATD_AG0_08_DTA","6","A","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"130","CRM_M001","ATD_AG0_20_DLM","6","8","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"131","CRM_M001","ATD_HST_10_RETR","6","2","21/02/2025 07:54:33","MATHEUS.AUGUSTO"
"132","CRM_M001","ATD_HST_19_EPRC","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"133","CRM_M001","ATD_HST_20_SPRC","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"134","CRM_M001","ATD_HST_21_STST","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"135","CRM_M001","ATD_HST_21_CICAV","6","1","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"136","CRM_M001","ATD_HST_22_CPDT","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"137","CRM_M001","ATD_SILO_10","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"138","CRM_M001","ATD_SILO_15","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"139","CRM_M001","ATD_SILO_20","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"140","CRM_M001","ATD_FN_10_INFADICALT","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"141","CRM_M001","ATD_FN_20_TROCAPES","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"142","CRM_M001","ATD_FN_15_ALTFNENCER","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"143","CRM_M001","ATD_PRC_40_LNK","6","4","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"144","CRM_M001","ATD_AGD_20","6","0","22/11/2024 09:59:58","MATHEUS.AUGUSTO"
"145","CRM_M051","PESCAD_SOLICATUGEOPO","6","0","27/11/2024 14:29:12","NETO.PRADO"
"146","CRM_M051","PES_RESP","6","1","27/11/2024 14:29:12","NETO.PRADO"
"147","CRM_M051","PES_SUPER","6","0","27/11/2024 14:29:12","NETO.PRADO"
"148","CRM_M051","PES_GERENTE","6","0","27/11/2024 14:29:12","NETO.PRADO"
"149","CRM_M051","PES_RESPDEPTO","6","0","27/11/2024 14:29:12","NETO.PRADO"
"150","CRM_M051","AGD_RESP","6","1","27/11/2024 14:29:12","NETO.PRADO"
"151","CRM_M051","AGD_SUPER","6","0","27/11/2024 14:29:12","NETO.PRADO"
"152","CRM_M051","AGD_GERENTE","6","0","27/11/2024 14:29:12","NETO.PRADO"
"153","CRM_M051","AGD_PESSOAS","6","0","27/11/2024 14:29:12","NETO.PRADO"
"154","CRM_M051","HST_PROD","6","365","21/02/2025 08:04:02","MATHEUS.AUGUSTO"
"155","CRM_M051","HST_IMPROD","6","365","21/02/2025 08:04:02","MATHEUS.AUGUSTO"
"156","CRM_M051","HST_MINIMO","6","0","27/11/2024 14:29:12","NETO.PRADO"
"157","CRM_M051","JUNO_CGO1","6","1","27/11/2024 14:29:12","NETO.PRADO"
"158","GLB_M001","GLB_SH0_20","6","F","28/11/2024 10:04:10","NETO.PRADO"
"159","GLB_M001","GLB_SH0_25","6","4","28/11/2024 10:02:07","NETO.PRADO"
"160","GLB_M001","GLB_SH0_27","6","0","28/11/2024 10:02:07","NETO.PRADO"
"161","GLB_M001","GLB_ATU_20","6","0","28/11/2024 10:02:07","NETO.PRADO"
"162","GLB_M001","GLB_EXP_10","6","0","28/11/2024 10:02:07","NETO.PRADO"
"163","CRM_M051","PESCAD_EXIGESEGJUNO","2","1","09/12/2024 17:44:16","VTCCONS"
"164","CRM_M051","PESCAD_SOLICATUGEOPO","2","0","09/12/2024 17:47:16","VTCCONS"
"165","CRM_M051","PES_RESP","2","1","09/12/2024 17:47:16","VTCCONS"
"166","CRM_M051","AGD_RESP","2","1","09/12/2024 17:47:16","VTCCONS"
"167","CRM_M051","AGD_PESSOAS","2","0","09/12/2024 17:50:56","VTCCONS"
"168","CRM_M051","PES_SUPER","2","0","09/12/2024 17:50:27","VTCCONS"
"169","CRM_M051","PES_GERENTE","2","0","09/12/2024 17:50:27","VTCCONS"
"170","CRM_M051","PES_RESPDEPTO","2","0","09/12/2024 17:50:27","VTCCONS"
"171","CRM_M051","AGD_SUPER","2","0","09/12/2024 17:50:56","VTCCONS"
"172","CRM_M051","AGD_GERENTE","2","0","09/12/2024 17:50:56","VTCCONS"
"173","CRM_M051","HST_PROD","2","365","09/12/2024 17:50:56","VTCCONS"
"174","CRM_M051","HST_IMPROD","2","365","09/12/2024 17:50:56","VTCCONS"
"175","CRM_M051","HST_MINIMO","2","0","09/12/2024 17:50:56","VTCCONS"
"176","GLB_M001","GLB_LGPD_10","1","0","10/12/2024 12:43:41","VTCCONS"
"177","CRM_M001","ATD_CT0_10","7","T","25/03/2013 12:19:26","VTCCONS"
"178","CRM_M001","ATD_CT0_20","7","T","25/03/2013 12:19:26","VTCCONS"
"179","CRM_M001","ATD_CT0_22","7","T","25/03/2013 12:19:26","VTCCONS"
"180","CRM_M001","ATD_PRC_20_DEL","7","0","27/03/2013 19:35:51","VTCCONS"
"181","CRM_M001","ATD_PRC_20_DELALL","7","0","27/03/2013 19:35:51","VTCCONS"
"182","CRM_M001","ATD_PES_10","7","1","27/10/2016 09:57:33","VANESSA.ALVES"
"183","CRM_M001","ATD_PES_11","7","1","09/10/2013 10:45:05","VTCCONS"
"184","CRM_M001","ATD_SGM_20","7","32","21/05/2026 17:19:19","MATHEUS.AUGUSTO"
"185","CRM_M001","ATD_AG0_70_QTLM","7","0","12/02/2015 11:45:49","JULIANA.PLACIDI"
"186","CRM_M001","ATD_PES_50_VINC","7","6","19/03/2015 08:55:24","JACQUELINE.DUARTE"
"187","CRM_M001","ATD_PES_12","7","1","22/11/2016 17:27:21","VANESSA.ALVES"
"188","CRM_M051","PESCAD_LATLONGITUDE","7","1","10/11/2016 14:25:50","VANESSA.ALVES"
"189","CRM_M051","JUNO_CGO2","7","0","09/12/2024 17:50:56","VTCCONS"
"190","GLB_M001","GLB_LGPD_10","7","0","06/06/2023 10:43:00","DIEGO.MARQUES"
"191","CRM_M001","ATD_ROLG_10","7","1","03/11/2023 11:48:53","LIVIA.SILVA"
"192","CRM_M001","ATD_ROL_90","7","1","03/11/2023 15:43:58","LIVIA.SILVA"
"193","CRM_M051","PESCAD_EXIGESEGJUNO","7","1","09/12/2024 17:44:16","VTCCONS"
"194","CRM_M051","PESCAD_SOLICATUGEOPO","7","0","09/12/2024 17:47:16","VTCCONS"
"195","CRM_M051","PES_RESP","7","1","09/12/2024 17:47:16","VTCCONS"
"196","CRM_M051","AGD_RESP","7","1","09/12/2024 17:47:16","VTCCONS"
"197","CRM_M051","AGD_PESSOAS","7","0","09/12/2024 17:50:56","VTCCONS"
"198","CRM_M051","PES_SUPER","7","0","09/12/2024 17:50:27","VTCCONS"
"199","CRM_M051","PES_GERENTE","7","0","09/12/2024 17:50:27","VTCCONS"
"200","CRM_M051","PES_RESPDEPTO","7","0","09/12/2024 17:50:27","VTCCONS"
"201","CRM_M051","AGD_SUPER","7","0","09/12/2024 17:50:56","VTCCONS"
"202","CRM_M051","AGD_GERENTE","7","0","09/12/2024 17:50:56","VTCCONS"
"203","CRM_M051","HST_PROD","7","365","09/12/2024 17:50:56","VTCCONS"
