"Seqconsulta","Cod","Seqconsultapai","Tipo","Consulta","Descricao","Dtinclusao","Instrucaosql","Advertencia","Banco","Usuario","Conexao","Colunadado","Tipografico","Titulografico","Titulorodape","Tituloesquerdo","Legeixox","Colunatexto","Colunalegenda","Titulorel","Arqqrp","Qrpdireto","Checksum","DtaInicioUso","DtaUltUso","UltUsuario","QtdeUso"
"1","","","C","teste","teste","18/06/2012 00:00:00","select","","","","","","","","","","","","","","","","640","06/07/2012 16:28:52","28/03/2025 17:32:55","EVERTON.PEREIRA","30"
"2","","","C","PSQ01_Evolucao da Pesquisa de Qualidade","PSQ01_Evolução da Pesquisa de Qualidade","18/06/2012 09:20:21","DTA = DT2 + 0.99999;

NRD = 1;

SELECT DECODE ( :LS4, 'SIM', 1 , 0 ) 
       INTO :NRB
FROM DUAL;

SELECT f.OBJETIVO INTO :LTA
FROM IV_FORMULARIO F WHERE F.SEQFORMULARIO = 1;

SELECT A.GRUPO, lpad(nroreferencia, '2', '0') as NROREFERENCIA, A.SCRIPT ,
       tochar(QST.DTAREALIZACAO , 'YYYY/MM' ) AS DATA,
       NVL(QL.ORDEM, 999999) AS ORDEM,
       fva_StrNull( QST.O_SENHOR_FOI_PRONT, '*** Não resp ***') AS RESPOSTA,
       COUNT(*) AS QTDE,
       TRUNC (MAX (A.PESO)) * 100 AS PESO_QUESTAO_N,
       TRUNC (MAX (QL.PESO))* 100 AS PESO_RESPOSTA_N       
FROM IV_Q$PESQ_SATISF_S_NOVOS QST , 
     IV_QUESTAO A , 
	 OUTER (IV_QUESTAOLISTA QL ), 
	 IV_PROCDADO PD
WHERE A.SEQFORMULARIO = QST.SEQFORMULARIO 
  AND QST.PROCESSO = PD.PROCESSO
  AND A.NOMECOLUNA = 'O_SENHOR_FOI_PRONT' 
  AND QL.SEQFORMULARIO = A.SEQFORMULARIO
  AND QL.QUESTAO = A.QUESTAO
  AND QL.LISTA = QST.O_SENHOR_FOI_PRONT
  AND QST.DTAREALIZACAO >= :DT1 AND  QST.DTAREALIZACAO <= :DTA 
GROUP BY 1,2,3,4,5,6  

UNION

SELECT A.GRUPO, lpad(nroreferencia, '2', '0') as NROREFERENCIA, A.SCRIPT ,
       tochar(QST.DTAREALIZACAO , 'YYYY/MM' ) AS DATA,
       NVL(QL.ORDEM, 999999) AS ORDEM,
       fva_StrNull( QST.O_VENDEDOR_LHE_TRA, '*** Não resp ***') AS RESPOSTA,
       COUNT(*) AS QTDE,
       TRUNC (MAX (A.PESO)) * 100 AS PESO_QUESTAO_N,
       TRUNC (MAX (QL.PESO))* 100 AS PESO_RESPOSTA_N       
FROM IV_Q$PESQ_SATISF_S_NOVOS QST , 
     IV_QUESTAO A , 
	 OUTER (IV_QUESTAOLISTA QL ), 
	 IV_PROCDADO PD
WHERE A.SEQFORMULARIO = QST.SEQFORMULARIO 
  AND QST.PROCESSO = PD.PROCESSO
  AND A.NOMECOLUNA = 'O_VENDEDOR_LHE_TRA' 
  AND QL.SEQFORMULARIO = A.SEQFORMULARIO
  AND QL.QUESTAO = A.QUESTAO
  AND QL.LISTA = QST.O_VENDEDOR_LHE_TRA
  AND QST.DTAREALIZACAO >= :DT1 AND  QST.DTAREALIZACAO <= :DTA 
GROUP BY 1,2,3,4,5,6  

UNION

SELECT A.GRUPO, lpad(nroreferencia, '2', '0') as NROREFERENCIA, A.SCRIPT ,
       tochar(QST.DTAREALIZACAO , 'YYYY/MM' ) AS DATA,
       NVL(QL.ORDEM, 999999) AS ORDEM,
       fva_StrNull( QST.O_VENDEDOR_MOSTROU, '*** Não resp ***') AS RESPOSTA,
       COUNT(*) AS QTDE,
       TRUNC (MAX (A.PESO)) * 100 AS PESO_QUESTAO_N,
       TRUNC (MAX (QL.PESO))* 100 AS PESO_RESPOSTA_N       
FROM IV_Q$PESQ_SATISF_S_NOVOS QST , 
     IV_QUESTAO A , 
	 OUTER (IV_QUESTAOLISTA QL ), 
	 IV_PROCDADO PD
WHERE A.SEQFORMULARIO = QST.SEQFORMULARIO 
  AND QST.PROCESSO = PD.PROCESSO
  AND A.NOMECOLUNA = 'O_VENDEDOR_MOSTROU' 
  AND QL.SEQFORMULARIO = A.SEQFORMULARIO
  AND QL.QUESTAO = A.QUESTAO
  AND QL.LISTA = QST.O_VENDEDOR_MOSTROU
  AND QST.DTAREALIZACAO >= :DT1 AND  QST.DTAREALIZACAO <= :DTA 
GROUP BY 1,2,3,4,5,6

UNION

SELECT A.GRUPO, lpad(nroreferencia, '2', '0') as NROREFERENCIA, A.SCRIPT ,
       tochar(QST.DTAREALIZACAO , 'YYYY/MM' ) AS DATA,
       NVL(QL.ORDEM, 999999) AS ORDEM,
       fva_StrNull( QST.O_VENDEDOR_OUVIU_E, '*** Não resp ***') AS RESPOSTA,
       COUNT(*) AS QTDE,
       TRUNC (MAX (A.PESO)) * 100 AS PESO_QUESTAO_N,
       TRUNC (MAX (QL.PESO))* 100 AS PESO_RESPOSTA_N       
FROM IV_Q$PESQ_SATISF_S_NOVOS QST , 
     IV_QUESTAO A , 
	 OUTER (IV_QUESTAOLISTA QL ), 
	 IV_PROCDADO PD
WHERE A.SEQFORMULARIO = QST.SEQFORMULARIO 
  AND QST.PROCESSO = PD.PROCESSO
  AND A.NOMECOLUNA = 'O_VENDEDOR_OUVIU_E' 
  AND QL.SEQFORMULARIO = A.SEQFORMULARIO
  AND QL.QUESTAO = A.QUESTAO
  AND QL.LISTA = QST.O_VENDEDOR_OUVIU_E
  AND QST.DTAREALIZACAO >= :DT1 AND  QST.DTAREALIZACAO <= :DTA 
GROUP BY 1,2,3,4,5,6

UNION

SELECT A.GRUPO, lpad(nroreferencia, '2', '0') as NROREFERENCIA, A.SCRIPT ,
       tochar(QST.DTAREALIZACAO , 'YYYY/MM' ) AS DATA,
       NVL(QL.ORDEM, 999999) AS ORDEM,
       fva_StrNull( QST.EM_UMA_ESCALA_DE_1, '*** Não resp ***') AS RESPOSTA,
       COUNT(*) AS QTDE,
       TRUNC (MAX (A.PESO)) * 100 AS PESO_QUESTAO_N,
       TRUNC (MAX (QL.PESO))* 100 AS PESO_RESPOSTA_N       
FROM IV_Q$PESQ_SATISF_S_NOVOS QST , 
     IV_QUESTAO A , 
	 OUTER (IV_QUESTAOLISTA QL ), 
	 IV_PROCDADO PD
WHERE A.SEQFORMULARIO = QST.SEQFORMULARIO 
  AND QST.PROCESSO = PD.PROCESSO
  AND A.NOMECOLUNA = 'EM_UMA_ESCALA_DE_1' 
  AND QL.SEQFORMULARIO = A.SEQFORMULARIO
  AND QL.QUESTAO = A.QUESTAO
  AND QL.LISTA = QST.EM_UMA_ESCALA_DE_1
  AND QST.DTAREALIZACAO >= :DT1 AND  QST.DTAREALIZACAO <= :DTA 
GROUP BY 1,2,3,4,5,6

UNION

SELECT A.GRUPO, lpad(nroreferencia, '2', '0') as NROREFERENCIA, A.SCRIPT ,
       tochar(QST.DTAREALIZACAO , 'YYYY/MM' ) AS DATA,
       NVL(QL.ORDEM, 999999) AS ORDEM,
       fva_StrNull( QST.O_SENHOR_INDICARIA, '*** Não resp ***') AS RESPOSTA,
       COUNT(*) AS QTDE,
       TRUNC (MAX (A.PESO)) * 100 AS PESO_QUESTAO_N,
       TRUNC (MAX (QL.PESO))* 100 AS PESO_RESPOSTA_N       
FROM IV_Q$PESQ_SATISF_S_NOVOS QST , 
     IV_QUESTAO A , 
	 OUTER (IV_QUESTAOLISTA QL ), 
	 IV_PROCDADO PD
WHERE A.SEQFORMULARIO = QST.SEQFORMULARIO 
  AND QST.PROCESSO = PD.PROCESSO
  AND A.NOMECOLUNA = 'O_SENHOR_INDICARIA' 
  AND QL.SEQFORMULARIO = A.SEQFORMULARIO
  AND QL.QUESTAO = A.QUESTAO
  AND QL.LISTA = QST.O_SENHOR_INDICARIA
  AND QST.DTAREALIZACAO >= :DT1 AND  QST.DTAREALIZACAO <= :DTA 
GROUP BY 1,2,3,4,5,6

UNION

SELECT A.GRUPO, lpad(nroreferencia, '2', '0') as NROREFERENCIA, A.SCRIPT ,
       tochar(QST.DTAREALIZACAO , 'YYYY/MM' ) AS DATA,
       NVL(QL.ORDEM, 999999) AS ORDEM,
       fva_StrNull( QST._SE_A_NOTA_FOR_MEN, '*** Não resp ***') AS RESPOSTA,
       COUNT(*) AS QTDE,
       TRUNC (MAX (A.PESO)) * 100 AS PESO_QUESTAO_N,
       TRUNC (MAX (NVL(QL.PESO, 1)))* 100 AS PESO_RESPOSTA_N       
FROM IV_Q$PESQ_SATISF_S_NOVOS QST , 
     IV_QUESTAO A , 
	 OUTER (IV_QUESTAOLISTA QL ), 
	 IV_PROCDADO PD
WHERE A.SEQFORMULARIO = QST.SEQFORMULARIO 
  AND QST.PROCESSO = PD.PROCESSO
  AND A.NOMECOLUNA = '_SE_A_NOTA_FOR_MEN' 
  AND QL.SEQFORMULARIO = A.SEQFORMULARIO
  AND QL.QUESTAO = A.QUESTAO
  AND QL.LISTA = QST._SE_A_NOTA_FOR_MEN
  AND QST.DTAREALIZACAO >= :DT1 AND  QST.DTAREALIZACAO <= :DTA 
GROUP BY 1,2,3,4,5,6

UNION

SELECT A.GRUPO, lpad(nroreferencia, '2', '0') as NROREFERENCIA, A.SCRIPT ,
       tochar(QST.DTAREALIZACAO , 'YYYY/MM' ) AS DATA,
       NVL(QL.ORDEM, 999999) AS ORDEM,
       fva_StrNull( QST.O_SR__TEM_ALGUMA_S, '*** Não resp ***') AS RESPOSTA,
       COUNT(*) AS QTDE,
       TRUNC (MAX (A.PESO)) * 100 AS PESO_QUESTAO_N,
       TRUNC (MAX (NVL(QL.PESO, 1)))* 100 AS PESO_RESPOSTA_N       
FROM IV_Q$PESQ_SATISF_S_NOVOS QST , 
     IV_QUESTAO A , 
	 OUTER (IV_QUESTAOLISTA QL ), 
	 IV_PROCDADO PD
WHERE A.SEQFORMULARIO = QST.SEQFORMULARIO 
  AND QST.PROCESSO = PD.PROCESSO
  AND A.NOMECOLUNA = 'O_SR__TEM_ALGUMA_S' 
  AND QL.SEQFORMULARIO = A.SEQFORMULARIO
  AND QL.QUESTAO = A.QUESTAO
  AND QL.LISTA = QST.O_SR__TEM_ALGUMA_S
  AND QST.DTAREALIZACAO >= :DT1 AND  QST.DTAREALIZACAO <= :DTA 
GROUP BY 1,2,3,4,5,6

ORDER BY 1,2,3,4,5,6
								","","","","","","","","","","","","","Período entre #DT1 a #DT2","PSQ01_Evolução da Pesquisa de Qualidade.QRP","S","433589","18/06/2012 09:23:11","25/01/2025 09:09:50","JULIO.VILLA","48"
