"SeqPar","SeqGlbPar","NroEmpresa","Campo1","Campo2","Campo3","Campo4","Campo5","Campo6","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaAlteracao","UsuAlteracao","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","SimNao7","SimNao8","SimNao9","SimNao10"
"10484","9401","0","Agrale","Potencia Variável","","","","","","","","","","","","","","","","","AGR 4100 Rebocador Industrial","","","","","","","","","","09/10/2018 09:48:00","DIEGO.MARQUES","1","","","","","","","","",""
"10485","9401","0","Agrale","","","","","","","","","","","","","","","","","","AGR 4230 Rebocador Industrial","","","","","","","","","","09/10/2018 09:53:00","DIEGO.MARQUES","1","","","","","","","","",""
"10486","9401","0","New Holland","Potencia Variável","","","","","","","","","","","","","","","","","TL60E","","","","","","","","","","26/05/2019 11:21:00","DIEGO.MARQUES","1","","","","","","","","",""
"10487","9401","0","New Holland","","","","","","","","","","","","","","","","","","TL75E","","","","","","","","","","26/05/2019 11:22:00","DIEGO.MARQUES","1","","","","","","","","",""
"10488","9401","0","New Holland","Potencia Variável","","","","","","","","","","","","","","","","","T4.75F","","","","","","","","","","26/05/2019 11:24:00","DIEGO.MARQUES","1","","","","","","","","",""
"10489","9401","0","New Holland","Potencia Variável","","","","","","","","","","","","","","","","","T4.85F","","","","","","","","","","26/05/2019 11:25:00","DIEGO.MARQUES","1","","","","","","","","",""
"10490","9401","0","New Holland","Potencia Variável","","","","","","","","","","","","","","","","","T4.95F","","","","","","","","","","26/05/2019 11:26:00","DIEGO.MARQUES","1","","","","","","","","",""
"10491","9401","0","New Holland","Potencia Variável","","","","","","","","","","","","","","","","","T4.105F","","","","","","","","","","26/05/2019 11:27:00","DIEGO.MARQUES","1","","","","","","","","",""
"10492","9401","0","New Holland","","","","","","","","","","","","","","","","","","T4.75N","","","","","","","","","","26/05/2019 11:25:00","DIEGO.MARQUES","1","","","","","","","","",""
"10493","9401","0","New Holland","","","","","","","","","","","","","","","","","","T4.85N","","","","","","","","","","26/05/2019 11:26:00","DIEGO.MARQUES","1","","","","","","","","",""
"10494","9401","0","New Holland","","","","","","","","","","","","","","","","","","T4.95N","","","","","","","","","","26/05/2019 11:27:00","DIEGO.MARQUES","1","","","","","","","","",""
"10495","9401","0","New Holland","","","","","","","","","","","","","","","","","","T4.105N","","","","","","","","","","26/05/2019 11:27:00","DIEGO.MARQUES","1","","","","","","","","",""
"10496","9401","0","Solis","","","","","","","","","","","","","","","","","","S 75CRDI","","","","","","","","","","11/10/2018 09:20:00","DIEGO.MARQUES","1","","","","","","","","",""
"10497","9401","0","Solis","","","","","","","","","","","","","","","","","","S 90CRDI","","","","","","","","","","11/10/2018 09:21:00","DIEGO.MARQUES","1","","","","","","","","",""
"10498","9401","0","Solis","","","","","","","","","","","","","","","","","","S 60N","","","","","","","","","","11/10/2018 09:22:00","DIEGO.MARQUES","1","","","","","","","","",""
