"Origem","Tabela","ChaveN1","ChaveN2","ChaveStr","ChaveLocalN1","ChaveLocalN2","ChaveLocalStr","DtaAlteracao","IndMudanca"
"IMPORTAÇÃO","IV_ACAOAUTO","1977","0","x","5955","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1978","0","x","5956","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1979","0","x","5957","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1980","0","x","5958","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1981","0","x","5959","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1982","0","x","5960","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1983","0","x","5961","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1984","0","x","5962","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1985","0","x","5963","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1986","0","x","5964","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1987","0","x","5965","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1988","0","x","5966","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1989","0","x","5967","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1990","0","x","5968","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1991","0","x","5969","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","1992","0","x","5970","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2001","0","x","5971","0","x","22/11/2024 14:10:06","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2002","0","x","5972","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2003","0","x","5973","0","x","22/11/2024 14:10:07","1"
