"SeqCbrCritDef","SeqCbrCriterio","Origem","NroEmpresa","Departamento","Especie","TipoCobranca","IndCobrJuridica","LocalCobranca","VlrAberto","DiasAbertoDe","DiasAbertoAte","AtividadePessoa","FisicaJuridica","diasvencidode","diasvencidoate"
"117","116","Protheus","9","** Todos **","CA","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"118","117","Protheus","9","** Todos **","DP","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"119","118","Protheus","9","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"122","119","SISDIA","1","MAQUINAS NOVAS","Cheque","Cheque Pré","0","** Todos **","44000,00","","","","","-2","-1"
"127","120","** Todas **","9999","** Todos **","ADIANTAM. CLIENTE","** Todos **","0","** Todos **","1,00","","","","","2","2"
"128","120","** Todas **","9999","** Todos **","BOLETO BANCARIO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"129","120","** Todas **","9999","** Todos **","BOLETO DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","2","2"
"130","120","** Todas **","9999","** Todos **","CARTAO AMER. EXPRESS","** Todos **","0","** Todos **","1,00","","","","","2","2"
"131","120","** Todas **","9999","** Todos **","CARTAO ELO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"132","120","** Todas **","9999","** Todos **","CARTAO VISA","** Todos **","0","** Todos **","1,00","","","","","2","2"
"133","120","** Todas **","9999","** Todos **","CARTEIRA","** Todos **","0","** Todos **","1,00","","","","","2","2"
"134","120","** Todas **","9999","** Todos **","COFINS RETIDO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"135","120","** Todas **","9999","** Todos **","CSL RETIDO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"136","120","** Todas **","9999","** Todos **","DEPOSITO EM CONTA","** Todos **","0","** Todos **","1,00","","","","","2","2"
"137","120","** Todas **","9999","** Todos **","DEVOLUCAO DE NOTAS","** Todos **","0","** Todos **","1,00","","","","","2","2"
"138","120","** Todas **","9999","** Todos **","DINHEIRO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"139","120","** Todas **","9999","** Todos **","DINNERS CLUB","** Todos **","0","** Todos **","1,00","","","","","2","2"
"140","120","** Todas **","9999","** Todos **","DIRECTFACIL","** Todos **","0","** Todos **","1,00","","","","","2","2"
"142","120","** Todas **","9999","** Todos **","DUPLICATA","** Todos **","0","** Todos **","1,00","","","","","2","2"
"143","120","** Todas **","9999","** Todos **","ELO DEBITO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"144","120","** Todas **","9999","** Todos **","GARANTIA/REVISAO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"145","120","** Todas **","9999","** Todos **","INSS RETIDO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"146","120","** Todas **","9999","** Todos **","IRRF","** Todos **","0","** Todos **","1,00","","","","","2","2"
"147","120","** Todas **","9999","** Todos **","MAESTRO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"148","120","** Todas **","9999","** Todos **","MASTERCARD","** Todos **","0","** Todos **","1,00","","","","","2","2"
"149","120","** Todas **","9999","** Todos **","PIS RETIDO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"150","120","** Todas **","9999","** Todos **","RECEBIMENT DIVERSOS","** Todos **","0","** Todos **","1,00","","","","","2","2"
"152","120","** Todas **","9999","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","2","2"
"153","120","** Todas **","9999","** Todos **","VISA ELECTRON","** Todos **","0","** Todos **","1,00","","","","","2","2"
"154","120","** Todas **","9999","** Todos **","VL FUNCIONARIO","** Todos **","0","** Todos **","1,00","","","","","2","2"
"155","122","** Todas **","9999","** Todos **","ADIANTAM. CLIENTE","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"156","122","** Todas **","9999","** Todos **","BOLETO BANCARIO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"157","122","** Todas **","9999","** Todos **","BOLETO DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"158","122","** Todas **","9999","** Todos **","CARTAO AMER. EXPRESS","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"159","122","** Todas **","9999","** Todos **","CARTAO ELO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"160","122","** Todas **","9999","** Todos **","CARTAO VISA","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"161","122","** Todas **","9999","** Todos **","CARTEIRA","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"162","122","** Todas **","9999","** Todos **","COFINS RETIDO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"163","122","** Todas **","9999","** Todos **","CSL RETIDO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"164","122","** Todas **","9999","** Todos **","DEPOSITO EM CONTA","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"165","122","** Todas **","9999","** Todos **","DEVOLUCAO DE NOTAS","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"166","122","** Todas **","9999","** Todos **","DINHEIRO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"168","122","** Todas **","9999","** Todos **","DINNERS CLUB","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
