"SeqCons","Var","Ord","Descricao","Padrao","DepAnt","Instrucao","InstrSql","Lista","SQLCmd","Externa","TpDado","Tudo","LimLow","CorLow","LimHig","CorHig"
"106","DT2","5","e:","Hoje   (fd)","0","","","","","0","","0","","","",""
"106","LS1","3","Tipo de Analise","","0","","","ABERTO;FATURADO;TODOS","","0","","0","","","",""
"106","LS2","6","Departamento:","","0","","","Logistica;Oficina","","0","","0","","","",""
"106","LT1","1","Nro Chassi/Serie","%","0","","","","","0","","0","","","",""
"106","LT2","2","Processo","0","0","","","","","0","","0","","","",""
"107","DT1","3","Data Inicial","Início da semana (id)","0","","","","","0","","0","","","",""
"107","DT2","4","Data Final","Final da semana (fd)","0","","","","","0","","0","","","",""
"107","LS1","2","Tipo de Analise","","0","","","PAGO;EM ABERTO;TODOS","","0","","0","","","",""
"107","LT1","1","Processo","0","0","","","","","0","","0","","","",""
"108","DT1","3","Data Inicial","Início deste mês (id)","0","","","","","0","","0","","","",""
"108","DT2","4","Data Final","Hoje (fd)","0","","","","","0","","0","","","",""
"108","LS1","2","Tipo de Analise","","0","","","PAGO;EM ABERTO;TODOS","","0","","0","","","",""
"108","LT1","1","Processo","0","0","","","","","0","","0","","","",""
"109","DT1","3","Data Inicial","Início da semana (id)","0","","","","","0","","0","","","",""
"109","DT2","4","Data Final","Final da semana (fd)","0","","","","","0","","0","","","",""
"109","LT1","1","Processo","0","0","","","","","0","","0","","","",""
"110","DT1","2","Data Realização","Início deste ano (id)","0","","","","","0","","0","","","",""
"110","DT2","3","Data Final","Final da semana (fd)","0","","","","","0","","0","","","",""
"110","LT1","1","Processo:","0","0","","","","","0","","0","","","",""
"111","DT1","5","Data Inicial","Início deste ano (id)","0","","","","","0","","0","","","",""
"111","DT2","6","Data Final","Final deste mês (fd)","0","","","","","0","","0","","","",""
"111","LT1","4","Processo:","0","0","","","","","0","","0","","","",""
"112","DT1","2","Inicio","Início do mês anterior","0","","","","","0","","0","","","",""
"112","DT2","3","FIM","Final deste mês (fd)","0","","","","","0","","0","","","",""
"112","LT1","1","Processo","0","0","","","","","0","","0","","","",""
"113","DT1","5","Inicio","Início da semana","0","","","","","0","","0","","","",""
"113","DT2","6","Final","Final da semana (fd)","0","","","","","0","","0","","","",""
"113","LT1","4","Processo","0","0","","","","","0","","0","","","",""
"114","DT1","8","Inicio","Início da semana (id)","0","","","","","0","","0","","","",""
"114","DT2","9","Fim","Final da semana (fd)","0","","","","","0","","0","","","",""
"114","LT1","7","Processo","0","0","","","","","0","","0","","","",""
"115","DT1","6","Inicio","Início da semana (id)","0","","","","","0","","0","","","",""
"115","DT2","7","Final","Final da semana (fd)","0","","","","","0","","0","","","",""
"115","LT1","5","Processo","0","0","","","","","0","","0","","","",""
"116","OPT1","7","Carteira","1","0","Informe a Carteira","SELECT CRT.CARTEIRA #vksSql_ConcatHifen USR.NOMEREDUZIDO, CRT.SEQCARTEIRA
FROM IVS_DEPTO DPT
 JOIN IVS_CARTDEPTO CDP ON CDP.SEQDEPTO = DPT.SEQDEPTO
 JOIN IVS_CARTEIRA CRT ON CRT.SEQCARTEIRA = CDP.SEQCARTEIRA
 JOIN GE_USUARIO USR ON USR.SEQUSUARIO = CRT.SEQUSRRESP
WHERE DPT.DEPTO = 'MAQ-PEÇAS'
ORDER BY 1","","","0","","0","","","",""
"117","OPT1","1","Carteira","1","0","Carteira","SELECT CRT.CARTEIRA #vksSql_ConcatHifen USR.NOMEREDUZIDO, CRT.SEQCARTEIRA
FROM IVS_DEPTO DPT
 JOIN IVS_CARTDEPTO CDP ON CDP.SEQDEPTO = DPT.SEQDEPTO
 JOIN IVS_CARTEIRA CRT ON CRT.SEQCARTEIRA = CDP.SEQCARTEIRA
 JOIN GE_USUARIO USR ON USR.SEQUSUARIO = CRT.SEQUSRRESP
WHERE DPT.DEPTO = 'MAQ-PEÇAS'
ORDER BY 1","","","0","","0","","","",""
"118","DT1","1","Inicio","Início deste mês (id)","0","Informar Data","","","","0","","0","","","",""
"118","DT2","2","Fim"," (fd)","0","Data final","","","","0","","0","","","",""
"120","DT1","1","Data Inicio","Início deste mês (id)","0","","","","","0","","0","","","",""
"120","DT2","2","Data Fim","Final deste mês (id)","0","","","","","0","","0","","","",""
"121","DT1","1","Inicio","Início deste mês (id)","0","","","","","0","","0","","","",""
"121","DT2","2","Final","Final deste mês (fd)","0","","","","","0","","0","","","",""
