"SeqDocTp","DocTp","Descr","QtdDiaProcEncer","QtdDiaValidade","ExigArq","ExigAutent","ExigDtaBase","ExigValidade","Formato","VincPessoa","VincProcesso","VincPropriedade","VincProjeto","UmPorPessoa","UmPorProcesso","UmPorPropriedade","UmPorProjeto","TamanhoMax","TrocaPropriedade","REFPESSOA","VINCOS","UMPOROS","EXTENSOES"
"69","TCAT_CTRE","TCAT_CTRE","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"70","TCAT_CNH_MOT","TCAT_CNH_MOT","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"71","TCAT_CAVALO","TCAT_CAVALO","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"72","TCAT_CARRETA","TCAT_CARRETA","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"73","TCAT_NF_EQUIP","TCAT_NF_EQUIP","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"74","TCAT_CHECK-LIST","TCAT_CHECK-LIST","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"75","TCAT_FOT_AVARIA","TCAT_FOT_AVARIA","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"76","TCAT_ORÇ_REPARO","TCAT_ORÇ_REPARO","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"77","FAT EXTERN DSI","FATURAMENTO EXTERNO DSI","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"78","COMP PAGTO DSI","COMPROVANTE PAGAMENTO DSI","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"79","NF ASSINADA","NF ASSINADA","","","1","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"80","PLAN MANUT ASSI","Plano Manutenção Ass. - PLAN MANUT ASSI - 80","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"81","DC ENTG TEC ASS","Doc Entrega Téc Assinado - DC ENTG TEC ASS - 81","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"82","ORÇAMENTO","ORÇAMENTO","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"83","NF VENDA PEÇA","NF VENDA PEÇA","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"84","PEDIDO COMP DSI","PEDIDO COMPRA DSI","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"85","DOC GARANTIA","Documento de Garantia","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"86","CAPA OS FATURAD","CAPA OS FATURADA","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"87","AUT FAT FY25","AUTORIZAÇÃO DE FATURAMENTO FY25","","","0","1","1","1","DIG","0","1","0","0","0","1","0","0","0","","","0","0",""
"88","VENCIMENTO_SEG","VENCIMENTO SEGURO","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
