Origem,Pasta,Arquivo,Extensao,TamanhoBytes,ModificadoUtc,Sha256,TipoDetectado,PeArquitetura,PeSubsystem,PeTimestampUtc,FileVersion,ProductVersion,CompanyName,ProductName,FileDescription,Copyright,AssemblyNome,AssemblyVersao,TargetFramework,TiposPublicos,QtdReferencias,Referencias,Observacao
ECS-ST-TSPLUS:TDBin,<raiz>,srvci21.dll,.dll,290816,2003-06-04 20:44:32,9d2737fe451ac83199104019136b42371314e33e970451bbfaa12f6773c16a2d,nativo (PE sem CLI header),I386,WindowsGui,2003-06-05 00:44:31,"2.1-PTF4, Build 12999",2.1-PTF4,Centura Software Corporation,Centura Team Developer,SRVCI21,Copyright © 2001 Centura Software Corporation,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,srvci73.dll,.dll,348152,2021-01-21 19:28:42,0d3dfa2e188728917530db57fe118e5af4dd9619bd4abfe9e7bdd0f429175c6a,nativo (PE sem CLI header),I386,WindowsGui,2021-01-21 23:59:40,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,SRVCI73,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,ssti21.dll,.dll,36864,2001-10-23 15:34:28,78b72cf29abca4569d5414de1f0f8775cd01e1aa6c16852555b464e62eced2f1,nativo (PE sem CLI header),I386,WindowsGui,2001-10-23 20:34:27,"2.1, Build 12987",2.1,Centura Software Corporation,Centura Team Developer,SSTI21,Copyright © 2001 Centura Software Corporation,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,ssti73.dll,.dll,157688,2021-01-21 19:28:42,c44f34bbf0709a5b01e4d785fcb16d020b704750b6819184375b62d0af207e94,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:00:20,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,SSTI73,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,strci21.dll,.dll,24576,2001-10-23 15:34:28,4ce0a1a294f7239a2cf868f3f587fa82150882e4300df2b07565ebf4eddd2167,nativo (PE sem CLI header),I386,WindowsGui,2001-10-23 20:34:27,"2.1, Build 12987",2.1,Centura Software Corporation,Centura Team Developer,STRCI21,Copyright © 2001 Centura Software Corporation,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,strci73.dll,.dll,17912,2021-01-21 19:28:42,c197d396d9a1471ce490d99a4cd0e3a78eed4bc79d5355042ed939d8eda7b6eb,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:18:43,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,STRCI73,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,swcomp.exe,.exe,31952,2020-12-30 08:10:06,519deab93be859662855a4ec63bb390ab46daf7bbb5ac75dbe498483185c2142,nao-PE / formato desconhecido,,,,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,SWMSGi73.dll,.dll,76280,2021-01-21 19:28:42,fc8f9387bdfb65f78c7996074a25949eab4b5a47b07c20b930fa968574a5a8dc,nativo (PE sem CLI header),I386,WindowsGui,2021-01-21 23:59:37,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,Event Log Message File,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,Sybase.AdoNet4.AseClient.dll,.dll,11086336,2020-12-30 08:08:30,b66da333d6431e3c71d0a7cba64b6b1c03d8a07d2535678dd4bde4815af32688,.NET,I386,WindowsCui,2014-04-12 07:39:05,16.0.00.02,16.0.00.02,SAP AG or an SAP affiliate company.,AdoNet4,AdoNet4,Copyright (c) 2014 SAP AG or an SAP affiliate company.  All rights reserved.,Sybase.AdoNet4.AseClient,16.0.0.2,".NETFramework,Version=v4.0",35,10,mscorlib 4.0.0.0 | System 4.0.0.0 | System.Configuration 4.0.0.0 | System.Data 4.0.0.0 | System.Data.Entity 4.0.0.0 | System.Drawing 4.0.0.0 | System.EnterpriseServices 4.0.0.0 | System.Transactions 4.0.0.0 | System.Windows.Forms 4.0.0.0 | System.Xml 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,sybprivs.exe,.exe,296280,2021-01-21 19:28:52,9ce505261c35f44d8cafbaffd34d69bd574870f1fd52b9a126300d2fd97581b8,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:04:40,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,sybsal32.dll,.dll,18936,2021-01-21 19:28:46,4f1feedba706731c2eac04e9799cab9acb459267772d13da650f5d749e77ef64,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:13:10,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,SQLRouter/Sybase SAL Add-On Library,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,Syncfusion.Compression.Base.dll,.dll,61440,2020-12-30 08:08:30,64abe33a2e7270a0f7c88d4f71b5047c3b573727966c74756677046957a2784f,.NET,I386,WindowsCui,2016-04-04 16:10:50,14.1450.0.41,14.1450.0.41,"Syncfusion, Inc.",Syncfusion Essential Compression Base,Syncfusion.Compression.Base,"Copyright (c) 2001-2016 Syncfusion. Inc,",Syncfusion.Compression.Base,14.1450.0.41,".NETFramework,Version=v4.5",19,2,mscorlib 4.0.0.0 | System 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,Syncfusion.XlsIO.Base.dll,.dll,4534272,2020-12-30 08:08:30,2f00cd1c90bf0d24362fe1771332493b30dade9754c6658548b84363719ad678,.NET,I386,WindowsCui,2016-04-02 01:26:31,14.1450.0.41,14.1450.0.41,Syncfusion Inc.,Syncfusion Essential XlsIO Base,Syncfusion.XlsIO.Base,"Copyright (c) 2001-2016 Syncfusion. Inc,",Syncfusion.XlsIO.Base,14.1450.0.41,".NETFramework,Version=v4.5",1373,9,mscorlib 4.0.0.0 | Syncfusion.Compression.Base 14.1450.0.41 | System 4.0.0.0 | System.Core 4.0.0.0 | System.Data 4.0.0.0 | System.Drawing 4.0.0.0 | System.Web 4.0.0.0 | System.Windows.Forms 4.0.0.0 | System.Xml 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,tabli21.dll,.dll,200704,2003-06-04 20:43:14,0c2462fb3b60c4df2507368f6ccb9041683113ddca36f195cf5129b1cd99db2d,nativo (PE sem CLI header),I386,WindowsGui,2003-06-05 00:43:12,"2.1-PTF4, Build 12999",2.1-PTF4,Centura Software Corporation,Centura Team Developer,TABLI21,Copyright © 2001 Centura Software Corporation,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,tabli73.dll,.dll,279032,2021-01-21 19:28:42,9752c8c4eb4c42b9042f51d8eb5cc516e22d7aedde2acdb2dd688eeb66f7d807,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:00:16,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,TABLI73,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,TDClickwrap.pdf,.pdf,272136,2020-12-30 08:10:00,,outro,,,,,,,,,,,,,,,,SHA256 nao calculado (extensao fora da lista)
ECS-ST-TSPLUS:TDBin,<raiz>,tdws73.dll,.dll,358392,2021-01-21 19:28:42,8b7bb37ba8ae754243d2611345dd70bd26e27a8a17be40f951109b8b1cf5cd9d,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:22:12,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Web Developer,RepPdfLib73,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,Telerik.Windows.Controls.Charting.dll,.dll,3067904,2020-12-30 08:08:30,8ebd61c92c4e6f8d05c6f2ee148ba1dcf00f12c77b13479f058a83499d9f9f3a,.NET,I386,WindowsCui,2014-03-30 22:11:16,2014.1.0331.45,2014.1.0331.45,Telerik AD,Telerik UI for WPF,Telerik.Windows.Controls.Charting,Copyright © 2008-2014 Telerik AD,Telerik.Windows.Controls.Charting,2014.1.331.45,".NETFramework,Version=v4.5",485,10,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Core 4.0.0.0 | System.Data 4.0.0.0 | System.Xaml 4.0.0.0 | Telerik.Windows.Controls 2014.1.331.45 | Telerik.Windows.Data 2014.1.331.45 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,Telerik.Windows.Controls.dll,.dll,3450880,2020-12-30 08:08:30,b835af1b48b482b76227487f89c7b82e994933c4e431ff54d87d84993ce7c37b,.NET,I386,WindowsCui,2014-03-30 22:08:08,2014.1.0331.45,2014.1.0331.45,Telerik AD,Telerik UI for WPF,Telerik.Windows.Controls,Copyright © 2008-2014 Telerik AD,Telerik.Windows.Controls,2014.1.331.45,".NETFramework,Version=v4.5",381,13,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Configuration 4.0.0.0 | System.Core 4.0.0.0 | System.Data 4.0.0.0 | System.Windows.Forms 4.0.0.0 | System.Xaml 4.0.0.0 | System.Xml 4.0.0.0 | UIAutomationProvider 4.0.0.0 | UIAutomationTypes 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,Telerik.Windows.Controls.Gauge.dll,.dll,1039872,2020-12-30 08:08:30,725237e9402064335646442955b5e30778fe8503f7a09ea8511f439901b65c05,.NET,I386,WindowsCui,2014-03-30 22:18:17,2014.1.0331.45,2014.1.0331.45,Telerik AD,Telerik UI for WPF,Telerik.Windows.Controls.Gauge,Copyright © 2008-2014 Telerik AD,Telerik.Windows.Controls.Gauge,2014.1.331.45,".NETFramework,Version=v4.5",64,9,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Core 4.0.0.0 | System.Xaml 4.0.0.0 | Telerik.Windows.Controls 2014.1.331.45 | Telerik.Windows.Data 2014.1.331.45 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,Telerik.Windows.Controls.GridView.dll,.dll,2655744,2020-12-30 08:08:30,cda62278ce6ac134b70d0850404177b49ed3b2ad26326688cbc1fb09dff40e33,.NET,I386,WindowsCui,2014-03-30 22:14:28,2014.1.0331.45,2014.1.0331.45,Telerik AD,Telerik UI for WPF,Telerik.Windows.Controls.GridView,Copyright © 2008-2014 Telerik AD,Telerik.Windows.Controls.GridView,2014.1.331.45,".NETFramework,Version=v4.5",270,15,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.ComponentModel.DataAnnotations 4.0.0.0 | System.Core 4.0.0.0 | System.Data 4.0.0.0 | System.Xaml 4.0.0.0 | System.Xml.Linq 4.0.0.0 | Telerik.Windows.Controls 2014.1.331.45 | Telerik.Windows.Controls.Input 2014.1.331.45 | Telerik.Windows.Data 2014.1.331.45 | UIAutomationProvider 4.0.0.0 | UIAutomationTypes 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,Telerik.Windows.Controls.Input.dll,.dll,2083328,2020-12-30 08:08:30,4dc0f5481a40def6233fbcec88b7934e3ca65598716324b3d1434e99e7e294b3,.NET,I386,WindowsCui,2014-03-30 22:09:15,2014.1.0331.45,2014.1.0331.45,Telerik AD,Telerik UI for WPF,Telerik.Windows.Controls.Input,Copyright © 2008-2014 Telerik AD,Telerik.Windows.Controls.Input,2014.1.331.45,".NETFramework,Version=v4.5",203,11,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.ComponentModel.DataAnnotations 4.0.0.0 | System.Core 4.0.0.0 | System.Xaml 4.0.0.0 | Telerik.Windows.Controls 2014.1.331.45 | UIAutomationProvider 4.0.0.0 | UIAutomationTypes 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,Telerik.Windows.Controls.Navigation.dll,.dll,2582528,2020-12-30 08:08:30,2de4dfe7fa908b9e0292dd6d10079c4743c5fb0e3f1afa5ca22cf20c0b656cf7,.NET,I386,WindowsCui,2014-03-30 22:08:47,2014.1.0331.45,2014.1.0331.45,Telerik AD,Telerik UI for WPF,Telerik.Windows.Controls.Navigation,Copyright © 2008-2014 Telerik AD,Telerik.Windows.Controls.Navigation,2014.1.331.45,".NETFramework,Version=v4.5",203,12,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Core 4.0.0.0 | System.Data 4.0.0.0 | System.Xaml 4.0.0.0 | Telerik.Windows.Controls 2014.1.331.45 | Telerik.Windows.Data 2014.1.331.45 | UIAutomationProvider 4.0.0.0 | UIAutomationTypes 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,Telerik.Windows.Controls.RibbonView.dll,.dll,1732608,2020-12-30 08:08:30,0d160c01cadf153de352910946b1478544c6bafc40fc7cdbfc51e9268097e108,.NET,I386,WindowsCui,2014-03-30 22:12:16,2014.1.0331.45,2014.1.0331.45,Telerik AD,Telerik UI for WPF,Telerik.Windows.Controls.RibbonView,Copyright © 2008-2014 Telerik AD,Telerik.Windows.Controls.RibbonView,2014.1.331.45,".NETFramework,Version=v4.5",91,12,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Core 4.0.0.0 | System.Xaml 4.0.0.0 | Telerik.Windows.Controls 2014.1.331.45 | Telerik.Windows.Controls.Input 2014.1.331.45 | Telerik.Windows.Controls.Navigation 2014.1.331.45 | UIAutomationProvider 4.0.0.0 | UIAutomationTypes 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,Telerik.Windows.Data.dll,.dll,458752,2020-12-30 08:08:30,0519760969bb7bd8bc62117ea1630d197ed21e7a59ce809527b29e82cba3c44a,.NET,I386,WindowsCui,2014-03-30 22:08:24,2014.1.0331.45,2014.1.0331.45,Telerik AD,Telerik UI for WPF,Telerik.Windows.Data,Copyright © 2008-2014 Telerik AD,Telerik.Windows.Data,2014.1.331.45,".NETFramework,Version=v4.5",117,13,mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.ComponentModel.DataAnnotations 4.0.0.0 | System.Core 4.0.0.0 | System.Data 4.0.0.0 | System.Data.DataSetExtensions 4.0.0.0 | System.Xaml 4.0.0.0 | System.Xml 4.0.0.0 | System.Xml.Linq 4.0.0.0 | Telerik.Windows.Controls 2014.1.331.45 | WindowsBase 4.0.0.0,
