"arquivo_logico","arquivo_fisico","type_desc","tamanho_mb","crescimento","tamanho_maximo","state_desc"
"CRM","D:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\CRM.mdf","ROWS","36270","10 %","ilimitado","ONLINE"
"CRM_log","D:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\CRM_log.ldf","LOG","257","1024 MB","15360 MB","ONLINE"
